,EPIC,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000
206,211959869,12.607999999999999,11.755,11.509,11.494,11.411,10.370999999999999,9.915,9.8,130.68200000000002,19.6232
207,211975510,14.74,13.477,13.033,,,11.67,11.062999999999999,10.931,129.623,19.8625
210,211983602,9.498,9.06,8.238,,,7.7,7.662999999999999,7.61,129.658,19.9897
214,211984243,9.454,9.025,8.388,,,7.86,7.819,7.769,129.765,19.9997
217,211975426,12.998,12.200999999999999,11.970999999999998,11.904,11.85,10.874,10.45,10.369000000000002,129.841,19.8612
218,211972478,16.093,14.629000000000001,13.89,,,12.286,11.622,11.386,129.905,19.8161
219,211983725,16.206,14.755999999999998,13.967,,,12.177,11.498,11.323,129.921,19.9913
220,211973205,13.222000000000001,12.368,12.145,,,11.005999999999998,10.557,10.435,129.946,19.8276
224,211971871,10.501,10.156,10.095,,,9.33,9.146,9.079,130.003,19.8066
228,211982469,,,,,,6.497999999999999,6.547000000000001,6.532,130.048,19.9711
229,211983916,,,,,,8.187999999999999,8.139,,130.064,19.9943
232,211973658,9.431000000000001,8.83,8.129,,,7.641,7.666,7.59,130.09799999999998,19.835
233,211974702,11.969000000000001,11.382,11.225999999999999,11.244,11.22,10.294,9.985,9.911,130.132,19.8503
238,211979334,11.315,10.837,10.722999999999999,,,9.863999999999999,9.588,9.507,130.201,19.9219
241,211980170,12.499,11.8,11.602,,,10.597000000000001,10.187999999999999,10.132,130.22899999999998,19.9352
243,211980142,,,,,,8.127,8.077,8.051,130.237,19.9349
245,211975006,10.965,10.437999999999999,10.287,,,9.406,9.064,8.939,130.29,19.8552
246,211980180,14.275,13.114,12.692,,,11.497,10.89,10.763,130.291,19.9353
247,211972627,11.85,11.29,11.14,11.35,,10.183,9.825,9.753,130.293,19.8186
249,211973314,,,,,,8.363999999999999,8.238,8.19,130.29399999999998,19.8295
250,211979345,,,,,,7.875,7.825,7.774,130.30700000000002,19.922
252,211980688,10.972999999999999,10.542,10.453,,,9.658999999999999,9.396,9.329,130.358,19.9436
253,211982734,,,,,,12.993,12.357999999999999,12.099,130.37,19.9756
256,211982334,12.059000000000001,11.449000000000002,11.292,,,10.392000000000001,10.083,9.927999999999999,130.391,19.9691
257,211981916,12.787,12.042,11.842,,,10.765,10.367,10.258,130.43200000000002,19.9621
258,211976270,,,,,,5.24,5.026,4.683,130.459,19.8742
267,211988454,11.075,10.597999999999999,10.448,,,9.696,9.434,9.367,129.708,20.0676
271,211986948,15.125,13.817,13.235,,,11.867,11.209000000000001,11.050999999999998,129.763,20.0438
273,211991571,10.26,9.61,9.179,,,8.603,8.455,8.413,129.77200000000002,20.1172
274,211985566,16.646,15.283,14.285,,,12.602,11.936,11.716,129.811,20.022000000000002
276,211988628,15.727,14.315999999999999,13.412,,,11.738,11.052,10.867,129.816,20.0706
279,211988531,10.783,10.157,9.904,,,9.14,8.839,8.807,129.877,20.0691
281,211985987,,,,,,12.595999999999998,11.944,11.755999999999998,129.924,20.0283
282,211989558,9.756,8.889,8.066,,,7.251,7.1770000000000005,7.159,129.928,20.0862
284,211988287,10.622,10.031,9.842,,,9.199,8.993,8.961,129.97899999999998,20.065
285,211994121,10.057,9.42,8.808,,,8.273,8.217,8.1,129.993,20.1583
286,211986176,10.218,9.542,9.035,,,8.454,8.251,8.214,129.996,20.0314
287,211992776,10.397,9.788,9.439,,,8.855,8.692,8.624,130.005,20.1356
289,211984704,,,,,,,,,130.02700000000002,20.0078
290,211996186,13.550999999999998,12.425,11.993,,,10.729000000000001,10.167,10.038,130.079,20.1918
292,211990908,10.62,10.037,9.794,10.1005,10.8859,9.137,8.924,8.852,130.093,20.1068
293,211995573,9.824,9.119,8.341000000000001,,,7.558,7.434,7.4270000000000005,130.111,20.182000000000002
