dwarf,Teff,logT,BCv,Mv,logL,Msun,M_J,Mbol,R_Rsun
M7,2650,3.423,-5.06,17.81,-3.21,0.09,10.76,12.75,0.118
M7.5,2600,3.415,-5.46,18.42,-3.29,0.08,10.68,12.97,0.112
M8,2500,3.398,-5.7,18.84,-3.36,0.077,11.23,13.14,0.111
M8.5,2440,3.387,-5.8,19.14,-3.44,0.071,11.45,13.34,0.107
M9,2400,3.38,-5.9,19.36,-3.57,0.065,11.53,13.67,0.095
M9.5,2320,3.365,-6.13,19.75,-3.55,-999,11.78,13.62,0.104
L0,2250,3.352,-999,20,-3.57,-999,11.84,13.67,0.108
L1,2100,3.322,-999,20.5,-3.7,-999,12.14,13.99,0.107
L2,1960,3.292,-999,20.9,-3.84,-999,12.34,14.34,0.104
L3,1830,3.262,-999,21.7,-3.98,-999,12.93,14.96,0.102
L4,1700,3.23,-999,22.3,-4.11,-999,13.17,15.02,0.102
L5,1590,3.201,-999,23.1,-4.24,-999,13.6,15.34,0.1
L6,1490,3.173,-999,-999,-4.36,-999,13.99,15.64,0.099
L7,1410,3.149,-999,-999,-4.46,-999,14.34,15.89,0.099
L8,1350,3.13,-999,-999,-4.55,-999,14.47,16.12,0.097
L9,1300,3.114,-999,-999,-4.61,-999,14.47,16.27,0.098
T0,1260,3.1,-999,-999,-4.66,-999,14.46,16.39,0.098
T1,1230,3.09,-999,-999,-4.69,-999,14.34,16.47,0.1
T2,1200,3.079,-999,-999,-4.73,-999,14.32,16.57,0.1
T3,1160,3.064,-999,-999,-4.77,-999,14.45,16.67,0.102
T4,1120,3.049,-999,-999,-4.84,-999,14.67,16.84,0.101
T4.5,1090,3.037,-999,-999,-4.9,-999,14.8,16.99,0.099
T5,1050,3.021,-999,-999,-4.95,-999,15.02,17.12,0.101
T5.5,1010,3.004,-999,-999,-5.04,-999,15.28,17.34,0.099
T6,960,2.982,-999,-999,-5.12,-999,15.61,17.54,0.1
T7,840,2.924,-999,-999,-5.37,-999,15.77,18.17,0.098
T7.5,770,2.886,-999,-999,-5.54,-999,16.51,18.59,0.095
T8,700,2.845,-999,-999,-5.71,-999,17.24,19.02,0.095
T8.5,610,2.785,-999,-999,-5.93,-999,18.45,19.57,0.097
T9,530,2.724,-999,-999,-6.15,-999,19.67,20.12,0.1
T9.5,475,2.677,-999,-999,-999,-999,19.52,-999,-999
Y0,420,2.623,-999,-999,-6.52,-999,21,-999,0.104
Y0.5,390,2.591,-999,-999,-999,-999,22,-999,-999
Y1,350,2.544,-999,-999,-999,-999,23,-999,-999
Y1.5,325,2.512,-999,-999,-999,-999,25,-999,-999
Y2,250,2.398,-999,-999,-999,-999,28.3,26.2,-999
