2474.16680491,2474.20766944,
2475.10668652,2475.14755091,
2475.14755091,2475.18841529,
2474.16680491,2474.20766944,
2475.10668652,2475.14755091,
2474.16680491,2474.20766944,tf
2475.10668652,2475.14755091,tf tb
2475.14755091,2475.18841529,ne
2479.84694314,2479.88780741,tf ab
2484.56674347,2484.60760753,ne
2487.83585613,2487.87672006,ne
2488.48967744,2488.53054126,ne
2489.91991021,2489.96077397,ne
2490.2059565,2490.26725223,ab
2493.69980263,2493.76109807,ne
2494.33318886,2494.41491608,ne
2495.47736966,2495.53866502,tf ab
2495.62039226,2495.66125573,ab
2504.18128657,2504.22214991,ne
2505.16200676,2505.22330175,tf ab
2505.69322989,2505.7340933,ne
2508.10416439,2508.14502776,ne
2512.00660402,2512.06789882,ne
2513.08947886,2513.15077374,tf ab
2513.96803755,2514.02933242,ne
2535.99328221,2536.03414543,tf
2542.9400427,2542.98090616,ab
2543.98205898,2544.04335406,ne
2546.08652531,2546.12738875,tf ab

