2470.14162827,2470.18249289,141,143,tf
2470.59113901,2470.63200361,163,165,ne
2470.83632659,2470.87719127,175,177,ne
2474.04419108,2474.08505561,332,334,ne
2475.10666581,2475.14753019,384,386,
2480.39858791,2480.43945195,640,642,ne
2484.56672141,2484.60758547,844,846,ne
2485.79263974,2485.83350365,904,906,ab
2486.16041489,2486.20127879,922,924,ne
2487.75410595,2487.79496989,1000,1002,ne
2490.08334264,2490.12420649,1114,1116,ne
2505.16198368,2505.20284701,1852,1854,ab
2505.87709172,2505.93838688,1887,1890,ne
2507.42989718,2507.47076056,1963,1965,ne
2509.63651362,2509.67737697,2071,2073,ne
2509.8203984,2509.86126154,2080,2082,ne
2512.59909776,2512.63996096,2216,2218,ab
2512.86470855,2512.90557174,2229,2231,ne
2513.25290889,2513.29377218,2248,2250,tf ab
2513.64110929,2513.68197258,2267,2269,ne
2514.96916294,2515.01002611,2332,2334,ne
2515.7047001,2515.74556336,2368,2370,ne
2515.94987919,2515.99074235,2380,2382,ne
2516.44023723,2516.48110039,2404,2406,ab
2516.93059533,2516.97145839,2428,2430,ne
2517.42095319,2517.46181634,2452,2454,ab
2518.89202682,2518.93289006,2524,2526,ab
2519.38238473,2519.42324777,2548,2550,ne
2519.58670043,2519.64799515,2558,2561,ne
2520.36310028,2520.40396341,2596,2598,ne
2521.83417345,2521.87503669,2665,2667,ne
2523.55042544,2523.59128857,2749,2751,ne
2527.43242441,2527.47328755,2939,2941,ne
2527.47328755,2527.51415069,2941,2943,ne
2529.18954019,2529.23040335,3025,3027,ne
2529.43471922,2529.47558228,3037,3039,ne
2531.15097237,2531.19183564,3121,3123,tf tb
2531.23269882,2531.27356209,3125,3127,ne
2531.39615161,2531.45744637,3133,3136,ne
2535.2985878,2535.35988263,3324,3327,af ab
2540.22261215,2540.26347546,3565,3567,tf
2543.67556599,2543.71642927,3734,3736,tf
2548.80393114,2548.84479467,3985,3987,tf ab
