2470.83633052,2470.87719522,175,177,ne
2475.10666998,2475.14753436,384,386,ne
2482.3600692,2482.40093335,736,738,ne
2496.35591833,2496.39678197,1421,1423,ne
2498.05175482,2498.09261832,1504,1506,ne
2499.54327206,2499.58413542,1577,1579,ne
2500.74874369,2500.78960712,1636,1638,tf ab
2501.97464621,2502.03594131,1696,1699,ne
2502.95536763,2502.996231,1744,1746,tf ab
2503.69090828,2503.73177174,1780,1782,ne
2506.87824799,2506.91911128,1936,1938,ne
2509.82040357,2509.88169833,2080,2083,ne
2515.45952626,2515.50038952,2356,2358,ne
2517.42095834,2517.48225307,2452,2455,ne
2517.91131625,2517.9521795,2476,2478,ne
2518.64685309,2518.68771614,2512,2514,ne
2518.89203196,2518.9328952,2524,2526,ab
2519.13721092,2519.17807406,2536,2538,ab
2519.60713714,2519.66843185,2559,2562,ne
2520.85346314,2520.89432617,2617,2619,ne
2521.83417856,2521.87504179,2665,2667,ne
2522.32453625,2522.36539939,2689,2691,ne
2523.06007283,2523.12136753,2725,2728,ab
2523.28482016,2523.32568329,2736,2738,ne
2527.61631356,2527.6571767,2948,2950,ne
2527.71847142,2527.75933466,2953,2955,ne
2533.33715818,2533.39845297,3228,3231,ne
2534.58348613,2534.62434934,3289,3291,ne
2534.8286654,2534.86952861,3301,3303,ne
2537.52563963,2537.56650289,3433,3435,ne
2538.50635828,2538.54722145,3481,3483,ne
2539.48707717,2539.52794056,3529,3531,ne
2540.22261676,2540.26348007,3565,3567,ab
2540.44736516,2540.48822837,3576,3578,ne
2543.38952667,2543.43039005,3720,3722,tf tb
2543.67557044,2543.71643373,3734,3736,ne
2549.19213903,2549.23300267,4004,4006,tf 
