0,Cluster_Name,UCAC4,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ePos,EpRA,EpDE,f.mag,a.mag,e_a.mag,of,db,Na,Nu,Nc,pmRA,e_pmRA,pmDE,e_pmDE,Jmag,e_Jmag,q_Jmag,Hmag,e_Hmag,q_Hmag,Kmag,e_Kmag,q_Kmag,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,g,c,H,A,b,h,Z,B,L,N,S,OutFlag,P_M1,P_M2_kinem,P_M2_join,P_M3,ClassM1,ClassM2,ClassM3
65,Ruprecht_147,368-170320,289.26,51,-16.4224,51,76,1996.1,1996.28,15.181,15.152,0.04,0,0,2,2,3,-12.9,4.9,-7.1,5,13.959,0.03,5,13.595,0.03,5,13.572,0.04,5,16.115,1,15.354,7,15.729,2,15.134,3,14.831,27,0,3,0,0,0,0,0,0,0,1,1,0,0,0.99,0.99,0,0,1,0
66,Ruprecht_147,368-170323,289.262,50,-16.4023,54,84,1992.23,1992.18,15.501,15.312,0.25,0,0,2,2,3,3.9,3.7,-3.8,3.9,13.653,0.03,5,13.134,0.03,5,13.003,0.03,5,16.796,6,15.558,2,16.185,1,15.185,3,14.929,14,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
67,Ruprecht_147,368-170325,289.263,19,-16.4329,20,28,1998.23,1998.12,13.893,13.815,0.07,0,0,4,4,3,3.8,2.6,-6.1,2.7,12.632,0.03,5,12.387,0.03,5,12.315,0.02,5,14.643,1,13.954,1,14.244,2,13.774,0,13.643,2,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
68,Ruprecht_147,368-170331,289.266,67,-16.4145,67,124,1986.68,1986.46,15.79,15.42,0.14,0,0,2,1,3,-10.2,4.3,-16.8,4.3,13.751,0.03,5,13.229,0.03,5,13.146,0.03,5,17.116,6,15.824,14,16.402,1,15.426,2,14.847,40,0,3,0,0,0,0,0,0,0,1,1,0,0,0.82,0.82,0,0,1,0
69,Ruprecht_147,369-165577,288.998,34,-16.2759,37,53,1996.68,1996.13,15.542,15.435,0.05,0,0,2,2,3,5.8,3.4,-15.4,3.4,13.883,0.02,5,13.448,0.03,5,13.372,0.04,5,16.329,4,15.419,9,15.799,3,15.213,5,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0.84,0.77,0,0,1,0
70,Ruprecht_147,369-165578,288.998,19,-16.3084,22,29,1998.96,1998.7,14.048,14.027,0.1,0,0,4,4,3,-6.3,3,-9.5,3.2,12.706,0.02,5,12.394,0.03,5,12.276,0.03,5,14.886,3,14.175,6,14.509,2,13.926,2,13.743,9,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
71,Ruprecht_147,369-165579,288.999,104,-16.2969,86,249,1975.17,1982.72,16.464,16.284,-9999.99,0,0,1,1,3,-1,7.6,-2.8,5.3,15.038,0.05,5,14.7,0.06,5,14.788,0.12,6,17.165,13,16.334,1,16.622,1,16.333,1,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
72,Ruprecht_147,369-165583,289.002,52,-16.3172,52,83,1992.9,1992.81,15.807,15.728,0.1,0,0,2,2,3,-0.2,3.9,-7.3,3.8,14.059,0.03,5,13.493,0.04,5,13.425,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
73,Ruprecht_147,369-165587,289.004,190,-16.2641,153,383,1979.99,1979.76,16.256,16.313,-9999.99,0,0,1,1,3,-6.1,11.5,-23.9,9.2,15.46,0.06,5,15.076,0.08,5,15.121,0.17,7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0.06,0.05,0.06,0.84,0,0,1
74,Ruprecht_147,369-165589,289.004,22,-16.2398,21,30,1998.52,1998.67,14.27,14.241,0.15,0,0,3,3,3,-3,3,2.5,3,13.103,0.03,5,12.819,0.03,5,12.791,0.03,5,15.055,1,14.414,8,14.667,2,14.184,2,14.111,7,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
75,Ruprecht_147,369-165590,289.005,70,-16.3311,155,207,1987.97,1989.73,16.178,16.096,0.08,0,0,2,2,3,-14.5,4.5,-3.3,10.3,14.285,0.03,5,13.607,0.04,5,13.482,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
76,Ruprecht_147,369-165591,289.005,18,-16.307,22,28,1999.32,1998.9,13.902,13.896,0.09,0,0,5,5,3,5.1,3.4,11.7,3.4,12.086,0.02,5,11.538,0.03,5,11.387,0.02,5,15.192,17,14.132,3,14.683,1,13.764,1,13.43,4,0,3,0,0,0,0,0,0,0,1,1,0,0,0.57,0.52,0,0,1,0
77,Ruprecht_147,369-165595,289.007,34,-16.286,30,46,1997.45,1997.44,14.759,14.709,0.06,0,0,2,2,3,-7.3,3.7,0.4,3.3,12.82,0.02,5,12.19,0.02,5,12.124,0.03,5,16.142,13,14.995,2,15.51,1,14.638,8,14.243,13,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
78,Ruprecht_147,369-165596,289.007,28,-16.2727,28,40,1997.75,1997.74,14.973,14.971,0.09,0,0,2,2,3,2.4,3.3,5.4,3.3,13.297,0.02,5,12.789,0.03,5,12.63,0.03,5,16.603,9,15.313,3,15.92,5,14.969,1,14.649,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0.99,0.99,0,0,1,0
79,Ruprecht_147,369-165598,289.008,95,-16.3253,84,171,1983.27,1986.75,16.286,16.493,-9999.99,0,0,1,1,3,-0.2,5.6,-5.5,5,15.227,0.05,5,14.915,0.07,5,14.842,0.12,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
80,Ruprecht_147,369-165599,289.01,56,-16.2418,53,86,1994.43,1991.81,15.615,15.575,0.13,0,0,2,2,3,-2.2,4.5,0.3,3.7,13.765,0.02,5,13.226,0.03,5,13.069,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
81,Ruprecht_147,369-165600,289.01,98,-16.3199,102,256,1978.65,1976.79,16.398,16.226,-9999.99,0,0,1,1,3,-1.2,6.5,1.6,7,15.196,0.04,5,14.832,0.07,5,14.57,0.09,5,17.243,14,16.658,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
82,Ruprecht_147,369-165603,289.013,34,-16.2584,34,49,1997.37,1997.35,14.928,15.012,0.08,0,0,2,2,3,-0.9,3.6,-4.1,3.6,13.096,0.03,5,12.45,0.03,5,12.309,0.03,5,16.549,8,15.197,1,15.77,1,14.873,1,14.468,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
83,Ruprecht_147,369-165604,289.014,36,-16.3431,26,46,1996.19,1998.2,14.812,14.857,0.09,0,0,3,3,3,6,3.4,-4.9,3.2,13.659,0.03,5,13.293,0.02,5,13.268,0.04,5,15.651,1,14.938,1,15.208,4,14.782,3,14.508,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
84,Ruprecht_147,369-165605,289.014,78,-16.2723,80,150,1985.67,1984.76,15.706,16.416,-9999.99,0,0,1,1,3,-6.3,4.8,-2.3,4.8,15.018,0.04,5,14.746,0.07,5,14.584,0.1,5,17.375,18,16.593,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
85,Ruprecht_147,369-165607,289.015,18,-16.2101,18,26,1998.68,1998.68,13.878,13.898,0.1,0,0,5,5,3,-9.6,2.7,0,2.7,12.586,0.02,45,12.283,0.03,5,12.177,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
86,Ruprecht_147,369-165608,289.015,42,-16.2271,58,71,1999.66,1999.09,15.143,15.19,0.08,0,0,2,2,2,-41.5,7.2,28,7.3,14.061,0.04,5,13.892,0.04,5,13.797,0.05,5,15.206,5,14.507,8,14.809,0,14.337,7,14.132,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
87,Ruprecht_147,369-165609,289.016,42,-16.3327,60,85,1995.14,1989.68,15.855,15.789,0.11,0,0,2,2,3,2.5,3.6,-0.2,3.9,14.383,0.04,5,14.085,0.05,5,13.742,0.05,5,16.565,8,15.866,1,16.059,1,15.593,1,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
88,Ruprecht_147,369-165610,289.016,42,-16.3006,156,180,1994.92,1993.35,15.52,15.352,0.06,0,0,2,2,3,-4.5,3.5,-24.5,11.9,14.101,0.03,45,13.807,0.03,45,13.679,0.05,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0.85,0.03,0.03,0.93,1,0,1
89,Ruprecht_147,369-165612,289.017,80,-16.2691,138,220,1983.66,1984.92,16.263,16.505,-9999.99,0,0,1,1,3,-15.9,5,-1.5,8.5,15.034,0.05,5,14.643,0.06,5,14.721,0.12,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.99,0.98,0,0,1,0
90,Ruprecht_147,369-165613,289.017,41,-16.2279,44,64,1996.59,1996.14,15.072,14.934,0.05,0,0,2,2,2,77.1,4.3,-49,4.3,13.567,0.03,5,13.176,0.04,5,13.107,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
91,Ruprecht_147,369-165616,289.018,29,-16.2954,23,38,1997.53,1998.58,14.602,14.574,0.1,0,0,5,5,3,-10.2,3.3,-21.6,3.2,13.149,0.02,5,12.716,0.03,5,12.616,0.03,5,15.576,3,14.811,1,15.119,1,14.492,7,14.271,16,0,3,0,0,0,0,0,0,0,1,1,0,0,0.23,0.19,0.03,0,0,0
92,Ruprecht_147,369-165617,289.019,19,-16.2073,17,25,1998.98,1999.12,13.515,13.517,0.11,0,0,5,5,3,-0.9,3,4.7,2.8,11.377,0.02,5,10.737,0.02,5,10.591,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
93,Ruprecht_147,369-165618,289.02,139,-16.2697,144,211,1995.37,1995.26,15.339,16.256,-9999.99,0,0,1,1,3,-12.1,10.3,25.2,10.5,15.873,0.1,25,15.451,0.13,26,15.346,0.99,2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
94,Ruprecht_147,369-165619,289.02,33,-16.2587,37,52,1996.88,1996,15.294,15.254,0.03,0,0,2,2,3,-7.6,3.4,0.5,3.5,14.06,0.03,5,13.755,0.03,5,13.757,0.05,5,15.892,5,15.055,1,15.462,1,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0
95,Ruprecht_147,369-165620,289.021,30,-16.2713,26,40,1997.45,1998.06,14.975,15.015,0.12,0,0,2,2,3,-3.2,3.3,-11.8,3.3,13.554,0.03,5,13.18,0.02,5,13.057,0.03,5,15.984,9,15.09,5,15.52,1,14.814,6,14.528,1,0,4,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,1,0
96,Ruprecht_147,369-165621,289.021,25,-16.3253,29,39,1998.29,1998.29,14.501,14.463,0.11,0,0,3,3,3,-4.9,3.2,-6.6,3.7,12.709,0.02,5,12.121,0.03,5,11.993,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
97,Ruprecht_147,369-165622,289.022,137,-16.2741,93,267,1979.74,1979.81,16.23,16.45,-9999.99,0,0,1,1,3,2.5,8.6,-8.7,5.8,15.113,0.04,5,14.838,0.05,5,14.645,0.1,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
98,Ruprecht_147,369-165623,289.022,81,-16.3144,84,159,1984.6,1984.47,15.706,16.137,-9999.99,0,0,1,1,3,-8.6,4.9,-0.6,5.1,15.171,0.04,5,14.961,0.05,5,14.856,0.12,6,17.031,12,16.441,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
99,Ruprecht_147,369-165624,289.023,98,-16.3224,46,136,1987.35,1993.95,15.478,15.556,0.16,0,0,2,2,3,18.5,6.3,-5.8,3.6,13.946,0.03,5,13.453,0.03,5,13.356,0.04,5,16.173,1,14.888,22,15.464,33,14.638,13,14.125,11,0,4,0,0,0,0,0,0,0,1,1,0,0,0.1,0,0,0,0,0
100,Ruprecht_147,369-165625,289.023,52,-16.3391,35,70,1991.55,1996.43,14.935,15.031,0.14,0,0,2,2,3,-0.9,3.7,-4.7,3.3,13.228,0.03,5,12.638,0.03,5,12.505,0.03,5,16.48,6,15.299,5,15.878,3,14.935,0,14.632,6,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
101,Ruprecht_147,369-165626,289.023,49,-16.2345,61,89,1993.44,1991.42,15.789,15.627,0.04,0,0,2,2,3,0.5,3.7,-5.4,4.2,13.875,0.03,5,13.303,0.04,5,13.196,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
102,Ruprecht_147,369-165627,289.023,31,-16.3193,21,38,1998.9,1998.9,14.1,14.038,0.13,0,0,5,5,3,-2,4.8,2,3.2,11.819,0.02,5,11.133,0.03,5,10.93,0.02,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,7,7,0,0,1,1,0,0,1,0
103,Ruprecht_147,369-165628,289.024,77,-16.2408,112,184,1985.71,1984.41,16.098,16.179,-9999.99,0,0,1,1,3,0.3,4.7,-7.4,6.8,14.729,0.03,5,14.267,0.05,5,14.201,0.07,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
104,Ruprecht_147,369-165629,289.025,33,-16.2649,46,62,1996.67,1993.16,14.967,14.877,0.14,0,0,2,2,3,18.2,3.3,-10.8,3.5,13.678,0.03,5,13.364,0.03,5,13.287,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0.06,0.04,0,0,0,0
105,Ruprecht_147,369-165630,289.025,24,-16.2321,30,39,1998.87,1997.41,14.465,14.4,0.09,0,0,4,4,3,-3.3,3.7,-5,3.3,12.61,0.02,5,12.053,0.02,5,11.96,0.03,5,15.617,2,14.51,1,15.038,3,14.198,6,13.812,3,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
106,Ruprecht_147,369-165631,289.026,100,-16.2828,98,253,1976.97,1977.99,16.356,16.247,-9999.99,0,0,1,1,3,-5.1,6.8,-1.2,6.4,14.925,0.04,5,14.482,0.06,5,14.596,0.1,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
107,Ruprecht_147,369-165632,289.026,52,-16.3495,45,77,1992.27,1994.19,15.682,15.262,0.05,0,0,2,2,3,2.9,3.7,-3.4,3.6,14.174,0.04,45,13.904,0.04,5,13.76,0.05,45,16.3,5,15.429,1,15.782,1,15.32,12,15.086,6,0,4,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0
108,Ruprecht_147,369-165633,289.027,73,-16.3677,75,145,1984.99,1983.8,16.122,16.194,-9999.99,0,0,1,1,3,-4.4,4.5,-2.7,4.6,14.296,0.03,5,13.788,0.04,5,13.675,0.05,5,17.241,14,16.434,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
109,Ruprecht_147,369-165634,289.028,111,-16.2618,129,354,1974.29,1974.35,16.394,16.395,-9999.99,0,0,1,1,3,7.9,8,14.3,9.1,15.364,0.06,5,15.102,0.08,5,15.03,0.15,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.19,0.13,0,0,0,0
110,Ruprecht_147,369-165635,289.028,62,-16.2549,63,110,1988.94,1988.35,15.689,15.802,0.15,0,0,2,2,3,2.7,4.1,2.2,4.1,14.248,0.02,5,13.864,0.03,5,13.822,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
111,Ruprecht_147,369-165636,289.028,47,-16.379,51,74,1996.14,1994.95,15.487,15.297,0.1,0,0,2,2,3,-8.1,4.4,-2,4.3,13.402,0.03,5,12.843,0.03,5,12.688,0.03,5,16.21,5,15.264,1,15.639,1,14.944,1,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
112,Ruprecht_147,369-165637,289.028,52,-16.2253,53,85,1992.11,1991.89,15.677,15.674,0.25,0,0,2,2,3,6.6,3.8,-0.1,3.8,14.277,0.03,5,13.889,0.04,5,13.955,0.05,5,16.724,5,15.899,2,16.165,1,15.501,1,15.333,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
113,Ruprecht_147,369-165638,289.029,18,-16.2696,16,24,1999.01,1999.25,13.619,13.545,0.1,0,0,5,5,3,1.8,3,0.2,2.9,11.66,0.03,5,11.078,0.03,5,10.914,0.02,5,15.026,1,13.775,2,14.37,2,13.392,4,13.008,5,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
114,Ruprecht_147,369-165640,289.03,109,-16.3772,110,292,1976.47,1976.06,16.418,16.016,-9999.99,0,0,1,1,3,-14,7.4,21.3,7.4,15.121,0.07,5,14.693,0.09,5,14.607,0.11,6,16.636,8,15.378,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
115,Ruprecht_147,369-165642,289.033,33,-16.2563,34,50,1996.65,1996.46,14.968,15.12,0.1,0,0,2,2,3,-3,3.3,16.4,3.3,13.541,0.03,5,13.111,0.03,5,12.991,0.03,5,16.086,5,15.283,1,15.649,1,14.957,1,14.534,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0.66,0,0,0,0,0
116,Ruprecht_147,369-165643,289.033,121,-16.2865,130,238,1985.27,1985.52,16.028,16.32,-9999.99,0,0,1,1,3,2.8,7.4,-10.3,8,15.795,0.08,5,15.644,0.11,6,15.071,0.99,2,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
117,Ruprecht_147,369-165644,289.033,92,-16.2684,82,181,1983.72,1981.48,16.2,15.921,-9999.99,0,0,1,1,3,-9.2,5.7,6.4,5.2,14.653,0.04,5,14.368,0.05,25,14.353,0.09,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.96,0.93,0,0,1,0
118,Ruprecht_147,369-165646,289.036,68,-16.3417,53,101,1989.37,1993.46,15.97,16.061,0.14,0,0,2,2,3,-3,4.4,-5.1,4,14.206,0.03,5,13.58,0.04,5,13.495,0.05,5,16.94,10,16.035,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
119,Ruprecht_147,369-165647,289.039,81,-16.3309,89,166,1984.54,1983.97,16.086,16.461,-9999.99,0,0,1,1,3,-5.1,4.9,8.1,5.4,14.868,0.04,5,14.363,0.04,5,14.382,0.09,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.95,0.93,0,0,1,0
120,Ruprecht_147,369-165648,289.039,17,-16.3361,18,25,1998.37,1998.15,13.55,13.551,0.09,0,0,5,5,4,2,1.9,-3,1.9,12.335,0.03,5,12.084,0.03,5,11.988,0.03,5,14.249,1,13.592,5,13.886,1,13.428,1,13.247,7,0,3,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
121,Ruprecht_147,369-165649,289.04,16,-16.274,17,23,1998.62,1998.62,13.201,13.113,0.19,0,34,6,5,3,-4.3,2.4,-8.4,2.5,11.077,0.02,5,10.514,0.03,5,10.318,0.02,5,14.777,1,13.388,4,14.054,1,12.915,1,12.532,5,0,3,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0
122,Ruprecht_147,369-165650,289.04,39,-16.3797,44,59,1999.49,1999.01,13.607,13.557,0.1,0,0,5,5,3,-8.9,7.7,13.1,7.1,12.265,0.02,5,11.978,0.02,5,11.902,0.03,5,14.448,5,13.681,6,14.034,1,13.474,2,13.267,6,0,3,0,0,0,0,0,0,0,1,1,0,0,0.34,0,0,0,0,0
123,Ruprecht_147,369-165651,289.04,30,-16.2874,43,53,1998.44,1998.25,13.063,13.05,0.08,0,0,5,5,4,2.3,3.4,-15.1,4.7,11.309,0.02,5,10.809,0.03,5,10.684,0.02,5,14.291,1,13.25,5,13.747,0,12.927,0,12.604,6,0,3,0,1,0,0,0,0,0,1,1,0,0,0.95,0.95,0,0,1,0
124,Ruprecht_147,369-165652,289.041,65,-16.3756,163,286,1989.33,1978.7,15.767,16.352,0.16,0,0,2,2,3,5.5,4.2,1,10.4,15.066,0.05,5,14.738,0.06,5,14.665,0.1,5,17.53,27,16.573,6,16.899,1,16.161,1,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
125,Ruprecht_147,369-165653,289.042,13,-16.312,14,20,1995.69,1995.98,10.512,10.495,0.02,0,0,5,5,6,-0.5,1.2,-26.3,1.4,9.339,0.02,5,9.059,0.02,5,8.983,0.02,5,11.16,2,10.527,2,10.869,4,10.379,3,10.198,0,0,2,0,1,0,0,0,0,0,1,1,0,0.93,0.01,0,0.97,1,0,1
126,Ruprecht_147,369-165654,289.042,105,-16.3862,89,253,1975.41,1982.31,16.493,16.396,-9999.99,0,0,1,1,3,11.1,7.7,-1,5.5,15.504,0.05,5,15.21,0.09,5,15.07,0.15,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.9,0.88,0,0,1,0
127,Ruprecht_147,369-165655,289.043,94,-16.3229,93,224,1981.37,1981.53,16.286,16.336,-9999.99,0,0,1,1,2,-9.9,6.9,28.3,6.9,15.378,0.06,5,14.911,0.07,5,15.311,0.18,7,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Ruprecht_147,369-165656,289.043,60,-16.3814,37,75,1995.41,1996.43,15.491,15.521,0.25,0,0,2,2,3,-2.3,5.2,-9,3.5,13.83,0.03,5,13.298,0.02,5,13.184,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
129,Ruprecht_147,369-165657,289.044,58,-16.3526,54,90,1992.77,1993.76,15.98,16.05,0.06,0,0,2,2,2,-11.7,4.6,21.1,4.5,14.576,0.04,5,14.195,0.06,5,14.189,0.09,5,16.966,3,16.209,14,16.732,1,15.732,1,15.988,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,Ruprecht_147,369-165659,289.046,16,-16.3567,15,22,1996.88,1996.69,11.727,11.704,0.04,0,0,5,5,5,-3.2,1.4,-2.5,1.3,10.633,0.02,5,10.418,0.03,5,10.331,0.02,5,12.37,3,11.766,4,12.044,1,11.621,2,11.5,6,0,2,0,1,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0
131,Ruprecht_147,369-165661,289.047,90,-16.3609,91,234,1980.11,1979.83,16.052,16.138,0.26,0,0,2,2,2,3.1,6.9,45.3,7,14.778,0.15,26,14.564,0.18,27,14.482,0.16,27,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
132,Ruprecht_147,369-165662,289.047,26,-16.3632,27,37,2000.18,2000.16,13.583,12.654,0.2,0,25,3,3,2,0.9,9.8,-0.4,9.6,-9999.99,-9999.99,0,-9999.99,-9999.99,0,-9999.99,-9999.99,0,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,1,0
133,Ruprecht_147,369-165663,289.048,67,-16.3288,62,111,1988.38,1989.88,15.854,15.911,0.09,0,0,2,2,3,-5.2,4.3,2.9,4.1,14.024,0.03,5,13.44,0.03,5,13.41,0.03,5,16.951,1,15.987,1,16.446,1,15.591,0,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
134,Ruprecht_147,369-165664,289.049,109,-16.2465,104,196,1984.83,1985.83,16.27,16.3,-9999.99,0,0,1,1,3,6.1,6.2,-24.1,6,16.118,0.1,25,15.751,0.14,26,15.301,0.99,2,16.845,9,16.29,1,16.502,1,16.164,1,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,3,1,0,0,0.04,0,0,0,0,0
