0,Cluster_Name,UCAC4,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ePos,EpRA,EpDE,f.mag,a.mag,e_a.mag,of,db,Na,Nu,Nc,pmRA,e_pmRA,pmDE,e_pmDE,Jmag,e_Jmag,q_Jmag,Hmag,e_Hmag,q_Hmag,Kmag,e_Kmag,q_Kmag,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,g,c,H,A,b,h,Z,B,L,N,S,OutFlag,P_M1,P_M2_kinem,P_M2_join,P_M3,ClassM1,ClassM2,ClassM3
15,Ruprecht_147,368-170073,289.117,16,-16.4231,16,23,1998.16,1998.19,12.623,12.607,0.06,0,0,5,5,4,16,1.8,-15.6,1.8,11.036,0.02,5,10.53,0.03,5,10.444,0.02,5,13.88,1,12.865,5,13.346,2,12.498,3,12.2,2,0,3,0,1,0,0,0,0,0,1,1,0,0,0.15,0,0,0,0,0
16,Ruprecht_147,368-170076,289.118,55,-16.4146,36,70,1995.42,1995.98,15.257,15.244,0.1,0,0,2,2,3,3.2,4.8,-6.7,3.4,13.919,0.03,5,13.599,0.04,5,13.492,0.05,5,15.941,3,15.185,2,15.469,1,14.928,6,14.61,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
17,Ruprecht_147,368-170089,289.124,69,-16.4167,75,120,1990.67,1990.18,15.966,16.176,-9999.99,0,0,1,1,3,-7.5,4.6,-1.7,4.9,14.568,0.03,5,14.019,0.04,5,13.931,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
18,Ruprecht_147,368-170091,289.129,46,-16.4243,70,88,1993.65,1998.12,14.731,14.714,0.16,0,0,3,3,3,-13.6,3.6,-14.6,8.8,13.727,0.04,5,13.437,0.03,5,13.406,0.05,5,15.345,1,14.751,7,14.995,3,14.608,5,14.591,6,0,3,0,0,0,0,0,0,0,1,1,0,0,0.7,0.62,0,0,1,0
19,Ruprecht_147,368-170093,289.13,45,-16.4087,47,72,1993.95,1993.12,15.372,15.485,0.26,0,0,2,2,3,-0.5,3.5,4,3.6,14.022,0.03,5,13.595,0.04,5,13.501,0.05,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
20,Ruprecht_147,368-170099,289.135,27,-16.4181,37,46,1998.89,1998.86,13.293,13.207,0.08,0,0,5,5,4,-5.2,3.2,-28.5,4.2,11.585,0.04,4,11.132,0.04,4,10.943,0.03,4,14.412,3,13.357,4,13.854,1,12.991,1,12.668,1,0,3,0,1,0,0,0,0,0,1,1,0,0.66,0,0,0.96,1,0,1
21,Ruprecht_147,368-170107,289.138,17,-16.4412,28,32,1999.36,1999.35,12.677,12.693,0.07,0,0,5,5,4,-10.2,2.3,-3.2,3.9,-9999.99,-9999.99,0,-9999.99,-9999.99,0,-9999.99,-9999.99,0,14.031,3,12.914,2,13.441,2,12.584,6,12.206,1,0,3,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
22,Ruprecht_147,368-170109,289.139,35,-16.401,33,49,1997.77,1998.01,14.888,14.867,0.27,0,0,3,3,2,-1.2,4.3,-7.5,4.2,-9999.99,-9999.99,0,-9999.99,-9999.99,0,-9999.99,-9999.99,0,15.674,16,14.681,14,15.021,1,14.261,1,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0
23,Ruprecht_147,368-170111,289.14,131,-16.4282,85,172,1993.2,1996.51,15.26,15.14,0.15,0,0,2,2,3,0.8,9.9,-5.5,8.2,13.851,0.03,5,13.502,0.03,5,13.335,0.04,5,16.208,9,15.293,4,15.643,3,15.101,7,14.923,2,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
24,Ruprecht_147,368-170116,289.142,32,-16.4522,44,59,1996.93,1993.87,14.916,15.017,0.08,0,0,5,5,3,1.7,3.3,-4.4,3.5,13.276,0.02,5,12.736,0.03,5,12.607,0.03,5,16.447,8,15.324,8,15.849,1,15.003,1,14.685,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
