objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J191647.060-161742.797	88442891961156072	19.2797391	-16.2952426	0.133	0.133	3	0.182055590843834	949	94	436285440	52	19.2797408	-16.2952142	0.001	0.001	55864.5903588	3	0	0	3	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.999	21.886	0.199	-999.000	-999.000	22.777	0.199	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	1.419
PSO J191645.576-161806.541	88432891899008128	19.2793267	-16.3018421	0.027	0.027	4	0.895579412482287	949	94	436363264	52	19.2793266	-16.3018281	0.001	0.001	56411.8978588	1	0	0	2	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.984	20.128	0.025	20.299	0.074	20.290	0.058	16696	0.998	19.863	0.061	20.017	0.101	19.964	0.061	115000	0.806	19.756	0.089	20.015	0.168	19.972	0.089	16952	1.419
PSO J191639.819-161817.963	88432891658524463	19.2777233	-16.3050048	0.532	0.156	8	0.267444343555201	949	94	436527104	52	19.2777318	-16.3049568	0.001	0.001	56187.87368056	2	0	1	5	2	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.943	22.077	0.187	-999.000	-999.000	21.739	0.187	115000	1.000	21.500	0.062	21.469	0.218	22.027	0.525	280	0.999	20.522	0.078	20.327	0.242	20.147	0.167	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.422
PSO J191647.823-161641.412	88462891992196563	19.2799504	-16.2781859	0.037	0.037	14	0.107523478667739	949	94	436527104	52	19.2799509	-16.2781702	0.001	0.001	55993.09510417	4	1	5	7	1	0	0.999	21.781	0.139	21.749	0.203	21.687	0.139	115768	0.999	21.671	0.041	22.436	0.184	22.370	0.177	115000	1.000	21.322	0.056	21.256	0.286	22.752	0.148	115000	0.078	20.739	0.129	20.693	0.226	20.599	0.129	115256	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.427
PSO J191637.782-161759.077	88442891574010618	19.2771613	-16.2997673	0.012	0.013	41	0.25225699437061	949	94	436527104	52	19.2771618	-16.2997439	0.001	0.001	55944.32070602	5	11	10	15	4	1	1.000	21.265	0.041	21.451	0.065	21.392	0.068	115000	0.999	20.593	0.065	20.774	0.120	20.847	0.183	115000	1.000	20.209	0.023	20.196	0.077	19.846	0.078	16892216	0.998	20.070	0.030	20.256	0.198	20.267	0.064	115000	0.998	20.370	0.154	-999.000	-999.000	22.329	0.154	115000	1.427
PSO J191636.345-161632.075	88462891516239711	19.2767621	-16.2756003	0.185	0.185	2	0.932212780166616	949	94	302067712	36	-66.6000000	-999.0000000	-999.000	-999.000	56149.3274537	0	1	0	0	1	0	1.000	21.937	0.184	21.806	0.246	22.038	0.184	280	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.417	20.969	0.306	-999.000	-999.000	-999.000	-999.000	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.428
PSO J191644.965-161813.061	88432891873446016	19.2791580	-16.3036605	0.010	0.012	54	0.745562607185508	949	94	503635968	60	19.2791571	-16.3036253	0.001	0.001	56034.11856481	4	4	11	17	11	11	1.000	18.049	0.003	18.208	0.002	18.108	0.001	16696	0.999	17.084	0.003	17.200	0.004	17.073	0.007	115000	1.000	16.696	0.005	16.822	0.006	16.756	0.015	115000	0.999	16.501	0.003	16.502	0.016	16.433	0.008	115000	0.999	16.358	0.003	16.410	0.013	16.332	0.015	115000	1.430
PSO J191638.199-161552.607	88482891591842823	19.2772776	-16.2646358	0.005	0.004	84	0.276090441528792	949	94	436527104	52	19.2772777	-16.2646133	0.001	0.001	55949.58032407	5	19	16	20	14	15	0.999	20.413	0.019	20.481	0.046	20.393	0.041	115000	0.999	20.028	0.024	20.177	0.058	20.099	0.047	115000	0.999	19.844	0.015	20.045	0.036	20.005	0.046	115000	1.000	19.749	0.028	19.875	0.071	19.784	0.057	115000	0.999	19.521	0.034	19.507	0.083	19.503	0.078	115000	1.430
PSO J191639.727-161818.171	88432891655244223	19.2777034	-16.3050626	0.072	0.072	7	0.511756763338816	949	94	436363264	52	19.2777091	-16.3050095	0.001	0.001	56291.51783565	2	0	0	5	2	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	21.676	0.207	21.326	0.239	21.256	0.140	115000	0.998	20.929	0.202	-999.000	-999.000	22.766	0.202	280	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	1.431
PSO J191637.855-161800.682	88442891577230129	19.2771819	-16.3002099	0.018	0.017	26	0.524004498053346	949	94	436527104	52	19.2771816	-16.3001825	0.001	0.001	56076.01844907	3	0	1	9	9	7	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.977	21.352	0.100	21.759	0.216	21.894	0.100	16696	0.999	20.532	0.017	20.835	0.081	20.852	0.077	115000	0.999	19.860	0.036	19.929	0.129	19.667	0.056	115000	0.999	19.773	0.069	19.863	0.191	19.863	0.177	115000	1.434
