objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J084023.994+194124.084	131621300999868406	08 40 23.991	+19 41 24.00	0.120	0.120	2	0.476395339217405	1709	94	310456320	37			-999.000	-999.000	56407.46434028	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	18.270	0.173	16.846	0.125	17.143	0.173	16777488	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.997	19.849	0.165	18.314	0.107	19.037	0.165	16777496	1.155
PSO J084018.052+193941.986	131591300751404420	08 40 18.053	+19 39 41.99	0.120	0.120	3	0.143734374217442	1709	94	268959744	32			-999.000	-999.000	55614.17974537	0	2	0	0	0	1	0.607	22.152	0.042	-999.000	-999.000	22.015	0.133	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.608	19.187	0.217	-999.000	-999.000	19.617	0.217	4112	1.159
PSO J084026.606+193948.424	131591301109836933	08 40 26.607	+19 39 48.42	0.054	0.054	2	0.210363673242148	1709	94	268959744	32			-999.000	-999.000	55930.51398148	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.320	13.012	0.001	11.634	0.001	13.451	0.001	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.635	20.084	0.238	19.410	0.184	19.791	0.238	4120	1.159
PSO J084026.693+193951.003	131591301111657492	08 40 26.692	+19 39 50.94	0.121	0.121	2	0.00540945213791863	1709	94	310456320	37			-999.000	-999.000	55619.19834491	0	1	0	0	1	0	0.981	22.192	0.169	21.360	0.163	21.566	0.169	16777496	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.986	20.710	0.173	19.517	0.135	19.730	0.173	16777488	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.159
PSO J084021.610+194129.493	131631300900030575	08 40 21.609	+19 41 29.41	0.013	0.013	5	0.08868201737169359	1709	94	444674048	53	08 40 21.654	+19 41 30.06	0.001	0.001	55952.52665509	1	1	2	1	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16440	0.973	19.161	0.023	16.670	0.158	18.276	0.032	16794680	0.000	19.209	0.018	-999.000	-999.000	-999.000	-999.000	115768	0.656	17.894	0.042	-999.000	-999.000	21.174	0.042	20528	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.174
PSO J084023.806+193912.793	131581300990374784	08 40 23.805	+19 39 12.72	0.115	0.115	2	0.376642511577013	1709	94	444674048	53	08 40 23.842	+19 39 12.86	0.001	0.001	56126.20936343	1	1	0	1	0	0	0.999	22.003	0.184	21.322	0.186	21.378	0.184	16793912	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.998	21.421	0.146	-999.000	-999.000	-999.000	-999.000	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.175
PSO J084017.519+194044.783	131611300728825402	08 40 17.517	+19 40 44.71	0.115	0.115	2	0.578980346749518	1709	94	310456320	37			-999.000	-999.000	56526.36936343	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	18.262	0.155	17.448	0.145	17.371	0.155	16777488	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.998	19.736	0.169	18.126	0.109	18.718	0.169	16777488	1.180
PSO J084019.784+194121.513	131621300825447704	08 40 19.784	+19 41 21.51	0.015	0.015	2	0.732754675422567	1709	94	277348352	33			-999.000	-999.000	55588.55649306	0	0	2	0	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.465	18.145	0.004	-999.000	-999.000	17.371	0.055	16781336	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.180
PSO J084022.560+194130.564	131631300940060708	08 40 22.559	+19 41 30.49	0.020	0.020	2	0.117747616132486	1709	94	302067712	36			-999.000	-999.000	55983.2855787	0	0	0	2	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	18.847	0.000	-999.000	-999.000	-999.000	-999.000	1040	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.187
PSO J084017.254+194033.577	131611300719591531	08 40 17.253	+19 40 33.50	0.104	0.104	2	0.0609285217345958	1709	94	310456320	37			-999.000	-999.000	55843.3949537	0	0	0	0	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.998	20.587	0.155	19.163	0.109	19.535	0.155	16777488	0.999	19.509	0.138	18.329	0.114	18.771	0.138	16777488	1.188
