┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
35	NGC_2632	546-046699	130.16	102	19.0873	106	170	1986.85	1985.87	15.695	16.311	-9999.99	0	0	1	1	2	-12.5	4.4	-4.1	4.5	14.831	0.03	5	14.33	0.05	5	14.178	0.07	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.99	0.99	0	0	1	0
36	NGC_2632	546-046702	130.172	27	19.1411	28	39	1999.24	1999.23	14.441	14.362	0.13	0	0	5	5	3	-15.1	3.3	-16.2	3.5	13.001	0.02	5	12.491	0.02	5	12.422	0.02	5	15.805	3	14.803	1	15.312	1	14.46	2	14.125	8	0	0	0	0	0	0	1	0	0	1	0	0	0	0.01	0	0	0	0	0
37	NGC_2632	546-046703	130.181	39	19.1686	38	54	1998.89	1999.42	15.235	15.122	0.13	0	0	3	2	2	3.8	3.8	-9.9	4.2	14.358	0.03	5	13.959	0.04	5	14.026	0.06	5	16.113	1	15.539	5	15.79	0	15.423	0	15.231	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0.95	0.92	0	0	1	0
38	NGC_2632	546-046704	130.19	33	19.1177	32	53	1993.27	1992.42	14.622	14.601	0.08	0	2	6	6	3	0.1	2.7	-4.1	2.6	13.698	0.03	5	13.392	0.03	5	13.36	0.03	5	15.592	3	14.895	1	15.16	1	14.726	1	14.577	6	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	1	0
39	NGC_2632	546-046705	130.195	32	19.1272	19	37	1998.25	1999.16	13.666	13.589	0.08	0	0	8	8	3	-1.2	3.3	-4.7	2.5	12.363	0.02	5	11.951	0.02	5	11.862	0.02	5	14.717	1	13.84	2	14.214	1	13.605	1	13.409	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
40	NGC_2632	546-046706	130.197	52	19.0854	52	74	1997.28	1997.93	15.719	15.595	0.13	0	0	4	4	2	0	3.9	-5.8	4.2	14.703	0.03	5	14.417	0.05	5	14.437	0.09	5	16.569	1	16.017	1	16.204	4	15.717	1	15.593	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
41	NGC_2632	546-046707	130.203	39	19.1119	37	53	1998.89	1999.49	15.229	15.152	0.08	0	0	5	5	2	-42	3.8	-18.3	4.2	14.046	0.03	5	13.761	0.03	5	13.617	0.04	5	16.209	10	15.444	4	15.764	2	15.247	1	15.107	13	0	0	0	0	0	0	0	0	0	1	0	0	0.08	0.75	0	0.99	0	0	1
42	NGC_2632	546-046711	130.205	14	19.129	40	51	1981.48	1979.57	11.346	11.306	0.03	0	0	8	7	8	14.1	0.5	-4	1.3	10.289	0.02	5	10.012	0.02	5	9.943	0.02	5	11.995	1	11.441	1	11.677	1	11.311	1	11.181	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0.46	0	0	0	0	0
43	NGC_2632	546-046712	130.212	24	19.1084	26	35	2000.22	2000.25	14.435	14.492	0.1	0	0	8	8	2	-3.6	3.8	-10.2	4.2	13.039	0.02	5	12.508	0.02	5	12.381	0.03	5	15.977	1	14.928	1	15.414	2	14.504	5	14.217	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0.97	0.95	0	0	1	0
44	NGC_2632	546-046713	130.214	41	19.0852	41	58	1998.54	1998.92	15.16	15.098	0.2	0	0	4	4	2	-8.2	3.7	3	4	14.235	0.03	5	13.999	0.04	5	13.767	0.05	5	16.19	6	15.465	8	15.768	2	15.297	1	15.185	3	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
45	NGC_2632	546-046714	130.218	173	19.1745	171	270	1989.83	1989.1	16.368	16.309	-9999.99	0	0	1	1	2	-39.9	8.1	-21.2	7.8	12.989	0.02	5	12.38	0.03	5	12.104	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.31	0	0.96	0	0	1
46	NGC_2632	546-046715	130.225	23	19.183	18	30	1997.41	1996.4	13.337	13.314	0.08	0	0	8	8	3	-9.2	1.9	2.7	1.7	12.383	0.02	5	12.147	0.03	5	12.058	0.02	5	14.108	1	13.48	1	13.738	0	13.332	1	13.202	7	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
47	NGC_2632	546-046716	130.23	25	19.1623	25	36	1996.01	1997.93	14.464	14.437	0.17	0	0	8	8	3	-2.3	2.3	4.9	2.9	13.556	0.02	5	13.224	0.03	5	13.16	0.03	5	15.371	1	14.705	1	14.96	1	14.557	3	14.396	6	0	0	0	0	0	0	1	0	0	1	0	0	0	0.99	0.98	0	0	1	0
48	NGC_2632	546-046718	130.259	118	19.1723	120	210	1980.96	1981.31	16.279	16.569	-9999.99	0	0	1	1	2	2	4.7	1.3	4.8	15.745	0.06	5	15.344	0.1	5	15.507	0.2	7	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.99	0.98	0	0	1	0
49	NGC_2632	546-046721	130.27	26	19.1151	30	41	1998.48	1995.79	14.114	14.131	0.12	0	0	4	4	3	40.9	2.9	39.8	2.7	12.1	0.02	5	11.467	0.02	5	11.283	0.02	5	15.922	2	14.575	1	15.254	4	13.999	1	13.528	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
50	NGC_2632	546-046722	130.28	25	19.1911	25	37	1994.32	1996.91	13.291	13.304	0.09	0	0	4	4	3	26.1	1.9	-11.8	2.3	12.249	0.02	5	11.933	0.02	5	11.878	0.02	5	14.053	1	13.38	1	13.663	1	13.212	3	13.122	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
51	NGC_2632	546-046726	130.305	60	19.1345	62	89	1995.63	1995.64	15.823	15.789	0.08	0	0	2	2	2	-9	3.8	-17.5	3.9	13.633	0.03	5	13.001	0.02	5	12.804	0.03	5	18.062	12	16.413	6	17.232	1	15.834	2	15.184	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0.05	0	0	0	0	0
52	NGC_2632	546-046727	130.308	106	19.1213	109	179	1985.36	1984.74	16.222	16.365	-9999.99	0	0	1	1	2	2.4	4.5	4.3	4.5	15.235	0.05	5	14.696	0.06	5	14.704	0.1	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.97	0	0	0	0	0
53	NGC_2632	546-046730	130.317	24	19.1419	24	35	1996.76	1995.56	13.209	13.207	0.18	0	0	3	2	3	-5.3	1.9	-2.2	2	12.079	0.02	5	11.754	0.02	5	11.681	0.02	5	13.96	4	13.282	2	13.569	2	13.092	4	12.937	8	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
54	NGC_2632	546-046736	130.348	62	19.1473	52	83	1995.69	1997.87	15.129	15.017	0.1	0	0	3	3	2	-0.6	3.9	-19.3	4.2	13.566	0.02	5	13.052	0.03	5	13.003	0.03	5	16.306	5	15.331	5	15.784	5	14.948	4	14.631	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0.04	0	0	0	0	0
55	NGC_2632	546-046738	130.36	208	19.1297	104	267	1985.18	1996.78	16.314	16.296	0.51	0	0	2	2	2	-11.1	8.7	9.1	7.3	14.415	0.03	5	13.866	0.04	5	13.651	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.85	0	0	0	0	0
56	NGC_2632	546-046749	130.443	54	19.1787	80	101	1996.69	1992.97	15.359	15.272	0.11	0	0	2	2	2	-23.8	3.8	-2.3	4.3	13.744	0.02	5	13.27	0.03	5	13.129	0.03	5	16.425	3	15.455	3	15.845	6	15.116	6	14.756	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0.01	0	0	0	0	0
57	NGC_2632	546-046752	130.456	29	19.1964	39	51	1998.45	1995.05	14.06	13.989	0.15	0	0	4	3	3	-39.2	3.2	-13.9	3.2	11.649	0.02	5	11.013	0.02	5	10.834	0.02	5	15.864	6	14.466	6	15.18	5	13.846	2	13.168	5	0	0	0	0	0	0	1	0	0	1	0	0	1	0.99	0.98	1	1	1	1
58	NGC_2632	547-045573	129.542	34	19.3998	51	61	1999.46	1998.09	15.239	15.186	0.11	0	0	5	4	2	9.3	3.8	5.4	4.2	14.283	0.03	5	13.977	0.04	5	13.915	0.04	5	16.206	7	15.48	4	15.754	4	15.317	2	15.141	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0.35	0	0	0	0	0
59	NGC_2632	547-045583	129.581	46	19.3575	42	63	1997.99	1998.84	15.595	15.365	0.06	0	0	4	4	2	0.5	3.8	-2.9	4.1	14.567	0.03	5	14.139	0.04	5	14.19	0.05	5	16.461	14	15.745	4	16.038	1	15.569	0	15.489	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
60	NGC_2632	547-045586	129.596	94	19.3987	93	148	1988.57	1989.11	15.968	16.311	-9999.99	0	0	1	1	2	-7.4	4.3	6.3	4.3	14.646	0.03	5	14.119	0.04	5	13.925	0.04	5	17.869	4	16.76	4	17.405	10	16.303	2	15.76	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0.99	0.99	0	0	1	0
61	NGC_2632	547-045588	129.603	25	19.3956	25	35	2000.22	2000.36	14.984	14.854	0.1	0	0	6	6	2	-1.7	3.9	-17.4	4.3	13.866	0.02	5	13.505	0.03	5	13.515	0.03	5	15.841	2	15.142	3	15.455	1	15	5	14.894	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0.18	0	0	0	0	0
62	NGC_2632	547-045589	129.605	31	19.3337	33	45	1999.72	1999.81	15.051	15.029	0.11	0	0	4	4	2	-0.8	3.8	-17.2	4.2	14.199	0.03	5	13.796	0.04	5	13.842	0.04	5	15.978	0	15.319	0	15.59	1	15.2	4	15.065	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0.16	0	0	0	0	0
63	NGC_2632	547-045590	129.607	119	19.3907	99	191	1978.48	1987.55	16.19	15.994	0.15	0	0	2	2	2	-1.5	4.6	-5.2	4.4	15.05	0.05	5	14.548	0.05	5	14.575	0.07	5	17.356	12	16.404	1	16.778	1	16.232	1	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
64	NGC_2632	547-045592	129.621	15	19.3828	13	20	1999.06	1997.96	12.947	12.94	0.06	0	0	8	8	3	-3.1	1.8	-14	1.6	11.939	0.02	5	11.614	0.02	5	11.577	0.02	5	13.879	0	13.157	2	13.465	2	12.964	1	12.84	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0.64	0.63	0	0	1	0
65	NGC_2632	547-045593	129.631	16	19.3936	40	46	1992.39	1992.78	11.582	11.549	0.03	0	0	8	8	6	2.2	0.9	4.4	2.1	10.818	0.02	5	10.636	0.02	5	10.584	0.02	5	12.099	3	11.624	0	11.806	1	11.55	2	11.509	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0.93	0.94	0	0	1	0
66	NGC_2632	547-045596	129.646	25	19.2831	18	31	1998.53	1998.95	14.195	14.155	0.07	0	0	8	8	3	-2.4	2.6	-4.6	2.4	13.265	0.02	5	12.963	0.02	5	12.919	0.03	5	14.924	2	14.328	1	14.577	0	14.212	3	14.075	8	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
67	NGC_2632	547-045597	129.657	24	19.3523	23	34	1997.34	1999.01	14.313	14.263	0.08	0	0	8	8	3	-9.1	2.6	-13.5	3	13.269	0.02	5	12.896	0.02	5	12.833	0.03	5	15.262	0	14.554	3	14.851	2	14.368	1	14.219	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0.51	0	0	0	0	0
68	NGC_2632	547-045598	129.659	18	19.3083	14	23	1995.81	1999.4	13.45	13.444	0.06	0	0	8	8	3	-1.4	1.6	8.1	2	12.611	0.02	5	12.363	0.02	5	12.312	0.02	5	14.113	3	13.615	0	13.79	2	13.496	1	13.41	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0.9	0.94	0	0	1	0
69	NGC_2632	547-045599	129.679	25	19.3325	17	30	1998.45	1999.58	14.168	14.143	0.08	0	0	10	9	3	-3.2	2.5	-6.4	2.5	13.105	0.02	5	12.811	0.02	5	12.676	0.03	5	15.08	1	14.351	1	14.656	2	14.198	2	14.027	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
70	NGC_2632	547-045601	129.683	166	19.294	113	214	1991.79	1996.4	16.124	16.028	0.32	0	0	2	2	2	-41	8.4	-12	7.6	12.834	0.02	5	12.186	0.02	5	11.961	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.99	0.94	0.98	1	1	1	1
71	NGC_2632	547-045602	129.702	49	19.3746	71	90	1997.15	1993.93	15.548	15.625	0.1	0	0	5	5	2	-6.8	3.6	1.2	4	14.626	0.03	5	14.208	0.04	5	14.064	0.06	5	16.681	9	15.916	7	16.241	1	15.793	4	15.446	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
72	NGC_2632	547-045603	129.704	104	19.3416	101	168	1985.43	1986.92	16.333	-9999.99	-9999.99	0	0	1	1	2	2	4.4	8	4.4	15.307	0.05	5	14.749	0.07	5	14.703	0.11	6	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.75	0.88	0	0	1	0
