┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
1	NGC_2632	546-046614	129.729	17	19.1983	23	33	1984.94	1986.35	9.943	9.932	0.02	0	0	6	5	8	-8	0.7	-8.1	1	8.617	0.02	5	8.145	0.03	5	8.045	0.02	5	11.149	1	10.247	1	10.665	2	10.037	7	9.661	3	0	0	1	1	1	1	1	1	0	1	0	0	0	0.99	0.99	0	0	1	0
2	NGC_2632	546-046624	129.786	18	19.1915	18	25	1998.85	2000.11	14.022	14.011	0.08	0	0	6	6	3	-11.1	2.3	-0.7	3.1	13.11	0.02	5	12.799	0.02	5	12.75	0.03	5	14.751	0	14.167	2	14.401	1	14.014	2	13.903	3	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0.99	0	0	1	0
3	NGC_2632	546-046625	129.789	53	19.1626	52	75	1996.67	1997.35	15.706	15.765	0.1	0	0	3	3	2	-15.7	3.7	-13.2	3.9	14.199	0.03	5	13.596	0.03	5	13.533	0.03	5	17.211	10	16.031	1	16.648	1	15.664	1	15.306	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0.1	0	0	0	0	0
4	NGC_2632	546-046630	129.808	17	19.1917	17	24	1997.57	1999.7	13.677	13.673	0.08	0	0	6	6	3	15.5	1.8	-26.4	2.6	12.251	0.02	5	11.756	0.02	5	11.667	0.02	5	14.988	2	14.005	1	14.471	2	13.649	1	13.394	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
5	NGC_2632	546-046634	129.816	17	19.1891	15	23	1997.71	1998.55	12.764	12.746	0.06	0	0	6	6	3	-0.5	1.6	-10.7	1.8	11.658	0.02	5	11.282	0.02	5	11.228	0.02	5	13.665	1	12.934	2	13.25	0	12.735	1	12.56	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0.93	0.89	0	0	1	0
6	NGC_2632	546-046639	129.849	15	19.1614	22	26	1999.54	1998.78	13.575	13.54	0.1	0	0	6	6	3	2.7	2	-6.2	2.7	12.636	0.02	5	12.336	0.02	5	12.31	0.02	5	14.277	1	13.71	2	13.93	1	13.572	1	13.47	4	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
7	NGC_2632	546-046640	129.85	60	19.1279	56	84	1995.57	1996.99	15.698	15.605	0.13	0	0	3	3	2	1.6	3.8	-0.4	4	14.225	0.03	5	13.775	0.04	5	13.663	0.05	5	16.796	7	15.915	1	16.297	0	15.652	3	15.361	11	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
8	NGC_2632	546-046641	129.861	27	19.1841	24	37	1997.15	1997.47	14.189	14.185	0.11	0	0	6	6	3	4.7	2.3	-0.4	2.3	13.316	0.02	5	13.085	0.03	5	13.012	0.03	5	14.832	3	14.301	2	14.53	1	14.21	2	14.071	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0.99	0.99	0	0	1	0
9	NGC_2632	546-046642	129.883	121	19.1238	122	210	1982.68	1982.29	16.242	16.305	-9999.99	0	0	1	1	2	9.6	4.9	-0.2	4.9	15.716	0.06	5	15.152	0.08	5	15.284	0.16	7	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.89	0	0	0	0	0
10	NGC_2632	546-046644	129.897	34	19.1224	32	46	1999.46	1999.84	15.117	15.062	0.12	0	0	4	4	2	4.7	3.8	-2.8	4.1	13.974	0.03	5	13.611	0.03	5	13.519	0.04	5	15.995	1	15.332	2	15.558	3	15.075	2	14.916	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
11	NGC_2632	546-046645	129.897	121	19.1759	127	188	1992.98	1991.55	16.049	16.257	-9999.99	0	0	1	1	2	-2.1	6.5	-0.7	6.3	15.062	0.04	5	14.561	0.05	5	14.304	0.07	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
12	NGC_2632	546-046648	129.916	103	19.1984	104	170	1985.78	1985.88	16.133	16.065	-9999.99	0	0	1	1	2	-4.6	4.3	3.4	4.4	15.458	0.05	5	15.018	0.09	5	15.034	0.13	6	17.009	1	16.324	3	16.618	5	16.212	4	15.932	16	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
13	NGC_2632	546-046649	129.918	36	19.1479	36	51	1999.01	1999.28	15.045	14.996	0.13	0	0	3	3	2	-10.4	3.5	-1.7	3.8	13.004	0.03	5	12.346	0.02	5	12.191	0.02	5	16.977	6	15.624	1	16.364	8	15.022	2	14.445	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
14	NGC_2632	546-046651	129.928	66	19.1904	67	98	1994.46	1995.21	16.022	15.807	0.14	0	0	3	3	2	6.1	3.8	-2.2	4.1	15.034	0.03	5	14.71	0.07	5	14.6	0.1	5	16.878	5	16.188	16	16.382	1	16.024	4	15.763	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.99	0.99	0	0	1	0
15	NGC_2632	546-046656	129.949	49	19.1561	51	72	1997.09	1997.31	15.694	15.573	0.11	0	0	3	3	2	-2.9	3.6	-4.7	3.8	14.473	0.03	5	14.099	0.04	5	13.89	0.06	5	16.684	0	15.919	11	16.24	4	15.66	6	15.411	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
16	NGC_2632	546-046658	129.957	42	19.1254	42	59	1998.35	1998.76	15.333	15.241	0.09	0	0	3	3	2	3.1	3.7	-9.8	4	14.41	0.03	5	14.006	0.04	5	13.942	0.06	5	16.307	4	15.626	2	15.898	2	15.501	1	15.299	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0.96	0.98	0	0	1	0
17	NGC_2632	546-046659	129.965	92	19.1403	80	132	1990.07	1994.09	16.046	15.952	0.14	0	0	3	2	2	2.6	4.3	-10.4	4.5	15.198	0.05	5	15.017	0.08	5	15.206	0.16	7	16.785	7	16.171	1	16.358	0	16.201	22	15.913	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.93	0.96	0	0	1	0
18	NGC_2632	546-046660	129.97	17	19.158	17	24	1999.68	1999.7	13.723	13.703	0.09	0	0	6	6	3	2.8	2.4	-4.8	2.6	12.855	0.02	5	12.605	0.02	5	12.541	0.03	5	14.464	2	13.876	1	14.118	1	13.764	1	13.625	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
19	NGC_2632	546-046662	129.972	71	19.1125	68	103	1993.5	1994.41	15.814	15.886	0.17	0	0	3	2	2	2	3.9	-12.5	3.9	14.657	0.04	5	14.182	0.05	5	14.049	0.06	5	16.941	8	16.248	1	16.63	1	15.946	1	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.72	0.81	0	0	1	0
20	NGC_2632	546-046663	129.997	26	19.1554	21	35	1995.06	1997.56	13.662	13.704	0.08	0	0	6	6	3	8.8	2.1	-10.7	2.2	12.773	0.02	5	12.501	0.02	5	12.418	0.03	5	14.484	2	13.877	1	14.114	2	13.717	2	13.605	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0.63	0	0	0	0	0
21	NGC_2632	546-046672	130.047	72	19.1595	110	153	1993.12	1983.35	14.674	15.932	0.53	0	0	3	3	2	-18.3	3.9	-24.5	4.5	14.578	0.03	5	13.876	0.03	5	13.905	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22	NGC_2632	546-046674	130.048	17	19.1647	15	23	1996.73	1997.29	12.683	12.659	0.06	0	0	6	6	4	-5.6	1.2	-2.8	1.3	11.832	0.02	5	11.571	0.02	5	11.542	0.02	5	13.366	1	12.825	2	13.033	1	12.707	1	12.591	3	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
23	NGC_2632	546-046680	130.085	135	19.1141	128	260	1972.23	1977.09	16.434	16.436	-9999.99	0	0	1	1	2	0.4	5.2	-11.7	4.9	15.226	0.05	5	14.815	0.07	5	14.935	0.12	6	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.84	0.84	0	0	1	0
24	NGC_2632	546-046681	130.089	79	19.1138	80	120	1991.55	1992.77	16	15.787	0.35	0	0	3	3	2	-7.1	3.9	-7.3	4.2	15.116	0.04	5	14.696	0.06	5	14.747	0.11	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
25	NGC_2632	546-046682	130.089	34	19.1818	52	72	1995.28	1991.75	13.956	13.618	0.14	0	0	6	5	3	-29.4	2.8	9.1	4.1	11.485	0.02	4	10.763	0.02	4	10.757	0.03	4	15.518	1	14.114	1	14.837	3	13.515	1	12.875	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
26	NGC_2632	546-046683	130.091	22	19.1291	25	33	1999.78	1998.46	14.38	14.46	0.06	0	0	6	6	3	-4.6	3.2	-9.4	2.9	13.547	0.03	5	13.22	0.03	5	13.151	0.04	5	15.348	1	14.664	3	14.975	1	14.503	2	14.346	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0.98	0.98	0	0	1	0
27	NGC_2632	546-046685	130.106	105	19.1856	108	180	1983.76	1983.92	16.193	16.489	-9999.99	0	0	1	1	2	-10.4	4.3	2.5	4.4	15.623	0.06	5	15.163	0.09	5	15.349	0.18	7	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.99	0.99	0	0	1	0
28	NGC_2632	546-046686	130.108	82	19.193	91	134	1991.78	1989.73	16.003	15.979	0.34	0	0	2	2	2	10.5	4.1	-8.8	4.2	14.981	0.04	5	14.486	0.06	5	14.485	0.09	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.62	0.59	0	0	1	0
29	NGC_2632	546-046690	130.137	18	19.1943	13	26	1980.74	1985.84	8.982	8.976	0.04	0	0	6	3	12	-36.7	0.7	-14.2	0.6	8.083	0.04	5	7.994	0.02	5	7.964	0.02	5	9.288	2	9.199	0	9.718	1	9.229	14	8.573	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1
30	NGC_2632	546-046691	130.14	114	19.1472	51	132	1996.29	1995.13	13.778	13.777	0.1	0	0	6	4	3	15.9	9.9	1.5	4.6	12.985	0.02	5	12.747	0.02	5	12.683	0.02	5	14.457	2	13.958	2	14.151	1	13.866	0	13.755	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0.03	0	0	0	0	0
31	NGC_2632	546-046692	130.143	88	19.0998	73	125	1988.72	1993.87	15.85	15.991	0.35	0	0	2	2	2	3.5	4	-5.7	4.1	15.118	0.04	5	14.673	0.06	5	14.667	0.1	5	16.888	8	16.384	1	16.558	1	16.14	1	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
32	NGC_2632	546-046694	130.148	15	19.1869	40	48	1999.49	1985.11	11.252	11.225	0.03	0	0	6	6	3	1.4	2.1	4.4	1.5	9.506	0.02	5	8.9	0.02	5	8.745	0.02	5	12.784	1	11.596	2	12.135	2	11.179	2	10.832	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0.95	0.94	0	0	1	0
33	NGC_2632	546-046695	130.15	110	19.1651	123	196	1986.93	1982.87	16.279	16.089	0.39	0	0	2	2	2	0.8	4.8	-14.8	5	14.501	0.03	5	13.861	0.03	5	13.641	0.04	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0.39	0.36	0	0	0	0
34	NGC_2632	546-046698	130.158	55	19.0963	52	77	1996.6	1997.61	15.568	15.333	0.21	0	0	3	3	2	-1.3	3.8	0.1	4.1	14.501	0.03	5	14.1	0.04	5	14.077	0.06	5	16.51	12	15.82	2	16.106	1	15.585	4	15.503	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0
