K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
211960587	K2EVEREST211960587-C05	5	STAR	08 40 33.463	+19 38 00.96	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5104_GO5106	11.901	0.010	10.706	0.023	11.992	gri				549-045501	08403347+1938009		14	2	46	3.516
211959779	K2EVEREST211959779-C05	5	STAR	08 40 09.682	+19 37 17.13	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5101_GO5104_GO5106	11.715	0.010	10.556	0.020	11.796	gri				549-045474	08400968+1937170		14	2	46	4.233
211968598	K2EVEREST211968598-C05	5	STAR	08 40 18.844	+19 45 15.92	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5046	14.774	0.030	13.878	0.027	14.817	gri			5038-301-3-0027-0205	549-045484	08401884+1945158		14	3	47	5.004
211968228	K2EVEREST211968228-C05	5	STAR	08 40 13.782	+19 44 55.95	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018_GO5024_GO5048_GO5054_GO5060_GO5095	15.506	0.010	12.752	0.023	15.213	gri			5038-301-3-0027-0353	549-045479	08401378+1944559		14	3	47	5.016
211958885	K2EVEREST211958885-C05	5	STAR	08 40 37.992	+19 36 28.54	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			15.774	0.063	18.195	JHK					08403799+1936285		14	2	46	5.352
211969170	K2EVEREST211969170-C05	5	STAR	08 40 13.084	+19 45 49.90	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048	19.443	0.014	15.114	0.045	18.680	gri			5038-301-3-0027-0452		08401308+1945498		14	3	47	5.911
211968762	K2EVEREST211968762-C05	5	STAR	08 40 04.732	+19 45 25.39	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5060_GO5101	14.277	0.030	12.831	0.024	14.332	gri				549-045466	08400472+1945252		14	3	47	6.550
211970147	K2EVEREST211970147-C05	5	STAR.Exoplanet	08 40 13.451	+19 46 43.72	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5101	12.760	0.020	11.282	0.022	12.872	gri				549-045478	08401345+1946436		14	3	47	6.727
211970750	K2EVEREST211970750-C05	5	STAR	08 40 17.623	+19 47 15.24	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5064_GO5101_GO5104	9.835	0.050	8.886	0.023	9.847	gri				549-045483	08401762+1947152		14	3	47	7.013
211970792	K2EVEREST211970792-C05	5	STAR	08 40 35.710	+19 47 18.53	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5046_GO5060	15.055	0.030	13.563	0.025	15.217	gri			5038-301-3-0027-0301	549-045505	08403572+1947186		14	3	47	7.674
211956852	K2EVEREST211956852-C05	5	STAR	08 39 59.983	+19 34 40.50	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5060_GO5106	12.497	0.030	11.134	0.020	12.560	gri				548-046138	08395998+1934405		14	2	46	7.700
211969037	K2EVEREST211969037-C05	5	STAR	08 40 45.872	+19 45 42.96	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5046	17.494	0.006	15.579	0.054	17.516	gri			5038-301-3-0027-0397		08404587+1945429		14	3	47	7.753
211956059	K2EVEREST211956059-C05	5	STAR	08 40 42.481	+19 33 57.63	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5104	11.140	0.040	10.091	0.023	11.195	gri				548-046170	08404248+1933576		14	2	46	7.956
211970520	K2EVEREST211970520-C05	5	STAR	08 40 04.159	+19 47 04.04	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5104	11.768	0.040	10.507	0.022	11.829	gri				549-045465	08400416+1947039		14	3	47	7.968
211956096	K2EVEREST211956096-C05	5	STAR	08 39 59.828	+19 34 00.31	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5095_GO5101_GO5104_GO5106	11.525	0.040	10.106	0.023	11.599	gri				548-046137	08395983+1934003		14	2	46	8.227
211960731	K2EVEREST211960731-C05	5	STAR	08 40 55.978	+19 38 09.46	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5020	12.408	0.010	10.736	0.026	12.377	gri				549-045522	08405595+1938088		14	1	45	8.242
211953905	K2EVEREST211953905-C05	5	STAR	08 40 18.098	+19 31 55.15	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5033_GO5045_GO5048			7.208	0.020	7.513	BV		1395-1677-1		548-046150	08401810+1931552		14	2	46	8.460
211954033	K2EVEREST211954033-C05	5	STAR	08 40 35.119	+19 32 02.27	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5029_GO5033	12.733	0.010	11.769	0.023	12.758	gri				548-046167	08403512+1932022		14	2	46	8.827
211967293	K2EVEREST211967293-C05	5	STAR	08 40 56.690	+19 44 05.21	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5020_GO5024_GO5029_GO5033_GO5048_GO5060_GO5095_GO5104_GO5106	11.920	0.010	10.719	0.025	11.986	gri				549-045523	08405669+1944052		14	4	48	8.948
211953849	K2EVEREST211953849-C05	5	STAR	08 40 09.473	+19 31 51.24	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5020	12.588	0.010	11.058	0.020	12.678	gri				548-046142	08400947+1931512		14	2	46	8.985
211971559	K2EVEREST211971559-C05	5	STAR	08 40 01.866	+19 48 05.32	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5020			12.720	0.022	14.300	JHK				550-045915	08400186+1948052		14	3	47	9.120
211955190	K2EVEREST211955190-C05	5	STAR	08 39 56.495	+19 33 10.77	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5023_GO5033_GO5045_GO5048_GO5064			6.907	0.020	7.337	BV		1395-2711-1		548-046135	08395649+1933107		14	2	46	9.364
211971871	K2EVEREST211971871-C05	5	STAR	08 40 00.624	+19 48 23.61	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5101_GO5104	10.156	0.010	9.330	0.022	10.217	gri				550-045914	08400062+1948235		14	3	47	9.534
211954496	K2EVEREST211954496-C05	5	STAR	08 39 57.769	+19 32 29.33	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5033_GO5045_GO5048_GO5057			7.065	0.019	7.448	BV		1395-1993-1		548-046136	08395777+1932293		14	2	46	9.721
211973658	K2EVEREST211973658-C05	5	STAR	08 40 23.466	+19 50 05.91	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5033_GO5045_GO5048	8.830	0.040	7.641	0.020	8.520	gri		1395-2003-1		550-045936	08402347+1950059		14	3	47	9.779
211972980	K2EVEREST211972980-C05	5	STAR	08 40 07.093	+19 49 28.02	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5011			12.922	0.022	15.255	JHK				550-045922	08400708+1949279		14	3	47	9.809
211952472	K2EVEREST211952472-C05	5	STAR	08 40 14.340	+19 30 36.78	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5060	14.857	0.020	13.019	0.022	14.902	gri				548-046145	08401434+1930368		14	2	46	9.886
211969550	K2EVEREST211969550-C05	5	STAR	08 40 56.831	+19 46 11.88	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048	19.967	0.019	15.049	0.039	18.993	gri			5038-301-3-0028-0639		08405683+1946118		14	4	48	10.046
211955036	K2EVEREST211955036-C05	5	STAR	08 39 50.836	+19 33 02.07	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5104_GO5106	11.522	0.010	10.421	0.022	11.594	gri				548-046128	08395084+1933020		14	2	46	10.378
211974702	K2EVEREST211974702-C05	5	STAR	08 40 31.685	+19 51 01.03	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5012_GO5018_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5095_GO5104	11.382	0.010	10.294	0.023	11.449	gri				550-045942	08403169+1951010		14	3	47	10.923
211954065	K2EVEREST211954065-C05	5	STAR	08 40 53.270	+19 32 04.42	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5020	13.568	0.020	12.190	0.023	13.633	gri				548-046179	08405327+1932044		14	1	45	11.028
211968107	K2EVEREST211968107-C05	5	STAR	08 41 05.262	+19 44 48.81	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5020_GO5029_GO5033_GO5060	12.803	0.020	11.456	0.022	12.861	gri				549-045531	08410526+1944488		14	4	48	11.084
211972837	K2EVEREST211972837-C05	5	STAR	08 39 54.623	+19 49 18.91	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5057_GO5086_GO5107	13.498	0.900	12.514	0.023	13.547	gri				550-045912	08395462+1949189		14	3	47	11.088
211951824	K2EVEREST211951824-C05	5	STAR	08 40 41.664	+19 30 00.78	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018_GO5024_GO5026_GO5048_GO5095			14.364	0.031	16.516	JHK					08404166+1930007		14	2	46	11.284
211957850	K2EVEREST211957850-C05	5	STAR	08 41 06.475	+19 35 35.14	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5046	19.297	0.013	16.815	0.159	19.248	gri			5071-301-6-0111-0294		08410647+1935351		14	1	45	11.452
211950584	K2EVEREST211950584-C05	5	STAR	08 40 27.350	+19 28 53.02	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5046	14.795	0.020	13.524	0.024	14.868	gri				548-046161	08402733+1928530		14	2	46	11.505
211958106	K2EVEREST211958106-C05	5	STAR	08 39 36.889	+19 35 50.00	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5029_GO5033	12.838	0.010	11.752	0.022	12.893	gri				548-046115	08393689+1935500		14	2	46	11.575
211974071	K2EVEREST211974071-C05	5	STAR	08 40 46.499	+19 50 28.02	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5020	14.343	0.020	12.901	0.023	14.323	gri				550-045962	08404650+1950280		14	3	47	11.643
211950227	K2EVEREST211950227-C05	5	STAR	08 40 25.543	+19 28 32.78	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018_GO5024_GO5029_GO5033_GO5048_GO5074_GO5086	9.769	0.040	9.004	0.035	9.816	gri				548-046159	08402554+1928328		14	2	46	11.804
211949471	K2EVEREST211949471-C05	5	STAR	08 40 22.717	+19 27 53.19	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5024_GO5029_GO5033_GO5048_GO5060_GO5104	10.529	0.010	9.640	0.022	10.588	gri				548-046156	08402271+1927531		14	2	46	12.438
211973205	K2EVEREST211973205-C05	5	STAR	08 39 47.066	+19 49 39.48	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5095_GO5101_GO5106	12.368	0.010	11.006	0.023	12.468	gri				550-045901	08394707+1949395		14	3	47	12.468
211971356	K2EVEREST211971356-C05	5	STAR	08 39 39.596	+19 47 54.30	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			16.028	0.074	18.143	JHK					08393959+1947543		14	3	47	12.569
211951686	K2EVEREST211951686-C05	5	STAR	08 40 53.504	+19 29 52.84	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5060	15.039	0.010	13.388	0.027	15.095	gri				548-046180	08405351+1929529		14	1	45	12.784
211949039	K2EVEREST211949039-C05	5	STAR	08 40 15.503	+19 27 31.04	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5020_GO5024_GO5048_GO5060_GO5095	13.381	0.020	11.430	0.022	13.405	gri				548-046146	08401549+1927310		14	2	46	12.904
