objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J085119.908+114840.647	122171328329514063	08 51 19.898	+11 48 40.76	0.022	0.012	20	0.152600077123009	1534	96	436527104	52	08 51 19.908	+11 48 40.65	0.001	0.001	55804.17712963	3	10	4	2	4	0	1.000	18.549	0.004	18.697	0.011	18.602	0.013	115000	0.999	18.995	0.011	19.202	0.040	19.179	0.000	115000	0.997	19.362	0.012	19.568	0.030	19.471	0.005	16696	0.999	19.580	0.015	19.790	0.065	19.746	0.056	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.068
PSO J085119.894+114837.582	122171328328753024	08 51 19.885	+11 48 37.59	0.003	0.008	78	0.798837427793851	1534	96	503635968	60	08 51 19.895	+11 48 37.58	0.001	0.001	56159.13259259	5	12	20	14	18	14	0.999	17.281	0.005	17.367	0.006	17.296	0.004	115000	0.999	16.525	0.003	16.588	0.009	16.520	0.003	115000	0.999	16.250	0.004	16.334	0.007	16.246	0.004	115000	1.000	16.156	0.003	16.255	0.006	16.169	0.002	115000	1.000	16.069	0.004	16.195	0.005	16.097	0.004	115000	0.109
PSO J085120.689+114845.585	122171328361455669	08 51 20.681	+11 48 45.56	0.059	0.059	9	0.652174012411548	1534	96	436527104	52	08 51 20.693	+11 48 45.62	0.001	0.001	56309.74958333	3	0	0	5	4	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.998	21.730	0.007	21.923	0.043	22.427	0.118	115000	0.999	21.110	0.063	21.350	0.189	21.371	0.178	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.141
PSO J085120.820+114837.711	122171328367893080	08 51 20.812	+11 48 37.72	0.040	0.021	41	0.830356015665788	1534	96	436527104	52	08 51 20.820	+11 48 37.71	0.001	0.001	56073.77868056	5	8	16	10	7	0	0.999	21.033	0.046	21.120	0.078	21.618	0.360	115000	1.000	20.761	0.097	20.459	0.230	21.190	0.266	115000	1.000	20.612	0.035	20.661	0.061	20.742	0.086	115000	1.000	20.547	0.066	20.745	0.173	21.537	0.133	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.189
PSO J085119.356+114843.963	122171328306455004	08 51 19.356	+11 48 43.96	0.158	0.158	2	0.7944273564912629	1534	96	268959744	32			-999.000	-999.000	55202.53025463	0	0	2	0	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.750	21.699	0.199	-999.000	-999.000	22.421	0.025	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.190
PSO J085120.861+114849.627	122171328369627060	08 51 20.855	+11 48 49.60	0.034	0.012	42	0.798552350884818	1534	96	436527104	52	08 51 20.862	+11 48 49.61	0.001	0.001	56201.99449074	4	0	5	13	15	9	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.000	21.752	0.054	-999.000	-999.000	23.268	0.337	115000	0.999	20.344	0.020	20.603	0.090	20.580	0.081	115000	0.999	19.736	0.029	19.971	0.057	20.178	0.078	115000	0.999	19.533	0.061	19.902	0.214	20.298	0.155	115000	0.208
PSO J085120.681+114832.556	122171328360121382	08 51 20.682	+11 48 32.56	0.053	0.053	3	0.300535647478453	1534	96	268959744	32			-999.000	-999.000	55845.31364583	0	1	1	0	1	0	0.568	20.646	0.119	21.648	0.284	23.185	0.119	4120	0.708	21.399	0.136	-999.000	-999.000	22.170	0.136	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.667	18.438	0.064	18.811	0.096	18.798	0.064	4112	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.221
PSO J085119.526+114853.651	122171328313048431	08 51 19.526	+11 48 53.65	0.175	0.175	2	0.777017908894474	1534	96	268959744	32			-999.000	-999.000	55707.65327546	0	0	1	0	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.534	21.457	0.229	-999.000	-999.000	21.748	0.229	4120	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.657	19.715	0.269	-999.000	-999.000	-999.000	-999.000	4120	0.230
PSO J085120.704+114831.455	122171328362770974	08 51 20.695	+11 48 31.47	0.004	0.003	66	0.543710366397826	1534	96	503635968	60	08 51 20.705	+11 48 31.46	0.001	0.001	56269.70377315	5	11	20	13	13	9	1.000	19.257	0.013	19.433	0.022	19.340	0.043	115000	0.999	18.006	0.004	18.135	0.014	18.061	0.015	115000	0.999	17.179	0.004	17.296	0.005	17.203	0.017	115000	1.000	16.811	0.003	16.937	0.007	16.860	0.011	115000	0.999	16.607	0.016	16.755	0.016	16.647	0.009	115000	0.237
