K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
211410235	K2EVEREST211410235-C05	5	STAR	08 50 21.019	+11 47 46.03	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			14.909	0.035	15.965	BV			5972-301-6-0116-0138	509-047151	08502104+1147460		6	1	13	14.496
211396493	K2EVEREST211396493-C05	5	STAR	08 50 57.858	+11 35 14.78	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5019_GO5031_GO5048	13.941	0.040	12.921	0.021	14.043	gri				508-049202	08505786+1135148		6	1	13	14.533
228682469	K2EVEREST228682469-C05	5		08 51 06.936	+12 02 53.52	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031					19.700								6	1	13	14.537
211427268	K2EVEREST211427268-C05	5	STAR	08 51 09.065	+12 03 02.21	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5031_GO5048	13.586	0.050	12.650	0.022	13.676	gri				511-047159	08510906+1203022		6	1	13	14.573
211395962	K2EVEREST211395962-C05	5	STAR	08 51 02.628	+11 34 46.93	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5020_GO5048	14.224	0.030	12.674	0.021	14.342	gri				508-049208	08510263+1134469		6	1	13	14.579
211395699	K2EVEREST211395699-C05	5	STAR	08 51 35.474	+11 34 32.10	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031_GO5048	14.508	0.040	13.438	0.023	14.581	gri				508-049260	08513547+1134322		6	1	13	14.672
211411894	K2EVEREST211411894-C05	5	STAR	08 50 20.126	+11 49 11.07	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5031_GO5048	13.456	0.020	12.533	0.021	13.687	gri				510-048363	08502012+1149110		6	1	13	14.691
211427526	K2EVEREST211427526-C05	5	STAR	08 51 28.397	+12 03 16.34	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5029_GO5033_GO5048	12.827	0.080	11.657	0.020	12.869	gri				511-047181	08512839+1203162		6	1	13	14.694
228682467	K2EVEREST228682467-C05	5		08 51 06.888	+12 03 04.50	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031					19.400								6	1	13	14.718
211396700	K2EVEREST211396700-C05	5	STAR	08 51 46.260	+11 35 25.28	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031			16.006	0.079	18.528	JHK					08514626+1135252		6	1	13	14.755
211427248	K2EVEREST211427248-C05	5	STAR	08 51 05.317	+12 03 01.28	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5007_GO5018_GO5029_GO5033_GO5048	12.710	0.050	11.724	0.021	12.809	gri				511-047156	08510531+1203012		6	1	13	14.755
211396570	K2EVEREST211396570-C05	5	STAR	08 50 54.762	+11 35 18.87	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031_GO5048	16.503	0.004	14.856	0.032	16.557	gri			6004-301-5-0114-0129		08505476+1135188		6	1	13	14.772
211396156	K2EVEREST211396156-C05	5	STAR	08 50 57.476	+11 34 57.43	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5048			13.888	0.024	15.482	JHK			6004-301-5-0114-0157	508-049201	08505748+1134574		6	1	13	14.836
211406540	K2EVEREST211406540-C05	5	STAR	08 52 18.574	+11 44 26.38	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5018_GO5020_GO5031_GO5048_GO5104	10.152	0.060	8.572	0.021	10.204	gri		814-2361-1		509-047468	08521856+1144263		6	2	14	14.929
211395606	K2EVEREST211395606-C05	5	STAR	08 51 38.333	+11 34 27.71	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031			14.850	0.038	16.860	JHK					08513833+1134277		6	1	13	14.936
211414594	K2EVEREST211414594-C05	5	STAR	08 52 20.201	+11 51 39.92	LC	2015-04-27 02:32:54	2015-07-10 22:25:00	GO5031	19.891	0.018	16.694	0.129	19.553	gri			6004-301-5-0116-0543		08522019+1151399		6	2	14	14.991
