┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
11	NGC_2682	508-049186	132.682	20	11.5968	35	47	1983.2	1978.67	11.511	11.491	0.02	0	0	4	2	6	27.4	0.7	-28.5	1.1	10.531	0.02	5	10.224	0.02	5	10.176	0.02	5	12.191	3	11.627	1	12.018	35	11.492	3	11.458	17	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0
12	NGC_2682	508-049187	132.682	39	11.4924	78	96	1996.81	1989.31	15.528	15.5	0.07	0	0	2	2	2	-9.5	2.8	-0.9	3.7	14.063	0.03	5	13.637	0.03	5	13.565	0.04	5	16.553	2	15.597	4	16.164	38	15.348	6	15.115	5	0	0	0	0	0	0	0	0	0	1	0	0	0.92	1	1	0.86	1	1	1
13	NGC_2682	508-049188	132.684	33	11.5156	40	52	1998.1	1998.08	14.769	14.759	0.11	0	0	4	4	2	-0.4	2.9	-0.3	3.4	13.572	0.02	5	13.167	0.03	5	13.079	0.03	5	15.816	8	14.999	5	15.474	36	14.746	3	14.692	15	0	0	0	0	0	0	0	0	0	1	0	0	0.44	0.22	0.17	0.25	0	0	0
14	NGC_2682	508-049189	132.704	45	11.5463	48	68	1995.28	1996.5	15.659	15.517	0.19	0	0	2	2	2	0.5	2.8	2	3.4	13.69	0.03	5	13.146	0.03	5	13.056	0.03	5	16.948	20	15.834	1	16.412	1	15.353	4	15.087	13	0	0	0	0	0	0	0	0	0	1	0	0	0.05	0.07	0.03	0.03	0	0	0
15	NGC_2682	508-049190	132.707	30	11.5858	19	38	1991.18	1987.25	10.971	10.946	0.02	0	0	4	4	6	-9.4	1.5	-2.9	0.7	9.41	0.02	5	8.848	0.02	5	8.722	0.02	5	12.343	6	11.266	3	11.892	34	10.93	3	10.711	13	0	0	0	1	1	0	1	1	0	1	0	0	0.92	1	1	0.94	1	1	1
16	NGC_2682	508-049191	132.711	25	11.5841	17	30	1997.44	1996.3	12.89	12.878	0.06	0	0	4	4	4	1.2	1.8	-37.2	1.2	11.851	0.02	5	11.509	0.02	5	11.474	0.02	5	14.161	1	13.247	1	13.613	6	13.307	1	13.36	53	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
17	NGC_2682	508-049193	132.713	21	11.5531	40	45	1999.16	1998.26	14.091	14.141	0.08	0	0	4	4	3	-9.8	2.5	-10.5	4.5	12.611	0.02	5	12.097	0.02	5	12.005	0.02	5	15.448	2	14.434	2	15.073	34	14.067	3	13.839	12	0	0	0	0	0	0	1	0	0	1	0	0	0.77	0.99	0.98	0.49	1	1	0
18	NGC_2682	508-049194	132.721	87	11.5712	69	137	1978.51	1991.61	15.901	16.226	0.29	0	0	2	2	2	0.1	3.5	-5	3.5	14.894	0.04	5	14.555	0.06	5	14.523	0.07	5	16.895	7	16.247	7	16.694	35	16.055	5	15.903	6	0	0	0	0	0	0	0	0	0	1	0	0	0.66	0.25	0.12	0.38	1	0	0
19	NGC_2682	508-049195	132.721	19	11.5223	23	31	1996.32	1995.24	13.27	13.265	0.07	0	0	4	4	3	-11.2	1.5	-3.1	1.8	12.251	0.02	5	12.014	0.02	5	11.923	0.02	5	13.967	6	13.404	3	13.766	32	13.258	2	13.198	11	0	0	0	0	0	0	1	0	0	1	0	0	0.93	1	1	0.93	1	1	1
20	NGC_2682	508-049196	132.73	21	11.5207	23	35	1998.06	1990.38	14.041	14.011	0.1	0	0	4	4	3	-10.1	2	-5.3	1.7	13.009	0.02	5	12.75	0.02	5	12.643	0.02	5	14.777	2	14.153	1	14.568	32	14.005	3	13.935	7	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.95	1	1	1
21	NGC_2682	508-049197	132.732	30	11.5932	19	38	1992.46	1997.47	13.268	13.25	0.08	0	0	4	4	4	-9.5	1.8	-3.4	1.5	12.294	0.02	5	12.041	0.02	5	11.959	0.02	5	13.952	5	13.372	3	13.742	33	13.245	2	13.206	12	0	0	0	1	0	0	1	0	0	1	0	0	0.92	1	1	0.95	1	1	1
22	NGC_2682	508-049198	132.733	54	11.4791	58	84	1992.9	1994.01	15.765	15.61	0.24	0	0	3	2	2	-1.7	2.9	-20.1	3.3	13.587	0.02	5	12.936	0.03	5	12.81	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
23	NGC_2682	508-049199	132.734	86	11.4754	66	131	1979.78	1992.1	15.78	15.556	0.21	0	0	2	2	2	-5.6	3.4	-4.3	3.5	14.299	0.03	5	13.821	0.03	5	13.764	0.04	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.93	0.97	0.94	0.92	1	1	1
24	NGC_2682	508-049200	132.736	60	11.5231	65	96	1991.16	1992.24	14.345	14.225	-9999.99	0	0	1	1	2	68.6	3	-35.5	3.4	-9999.99	-9999.99	0	-9999.99	-9999.99	0	-9999.99	-9999.99	0	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
25	NGC_2682	508-049201	132.739	86	11.5826	44	120	1979.35	1996.95	15.632	15.572	0.15	0	0	2	2	2	-18.3	3.5	-11.5	3.3	13.888	0.02	5	13.353	0.03	5	13.241	0.03	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.01	0.88	0	0.03	0	0	0
26	NGC_2682	508-049202	132.741	19	11.5874	45	50	1996.9	1996.75	13.969	13.98	0.1	0	0	4	4	3	-6.5	1.7	-2.2	4	12.921	0.02	5	12.603	0.02	5	12.563	0.02	5	14.698	2	14.074	1	14.484	32	13.945	4	13.859	11	0	0	0	0	0	0	1	0	0	1	0	0	0.93	0.98	0.96	0.91	1	1	1
27	NGC_2682	508-049203	132.746	48	11.5515	31	59	1995.04	1999.24	14.81	14.778	0.06	0	0	3	2	2	2.7	3	-2.3	3.4	13.445	0.02	5	13.014	0.03	5	12.925	0.02	5	15.794	8	14.992	1	15.467	31	14.757	5	14.549	10	0	0	0	0	0	0	0	0	0	1	0	0	0.1	0.03	0.02	0.07	0	0	0
28	NGC_2682	508-049206	132.758	17	11.567	44	53	1985.23	1995.24	13.902	13.919	0.06	0	0	4	4	3	0.1	1.3	-5.5	3.5	12.627	0.02	5	12.203	0.02	5	12.121	0.02	5	14.886	8	14.108	2	14.578	31	13.892	2	13.766	12	0	0	0	0	0	0	1	0	0	1	0	0	0.65	0.25	0.19	0.35	1	0	0
29	NGC_2682	508-049207	132.76	78	11.5223	54	108	1984.91	1994.88	15.748	15.894	0.37	0	0	2	2	2	-6.9	3.3	-4.2	3.3	14.427	0.03	5	13.924	0.04	5	13.825	0.05	5	17.078	12	16.077	7	16.686	27	15.803	4	15.647	8	0	0	0	0	0	0	0	0	0	1	0	0	0.91	0.99	0.99	0.94	1	1	1
30	NGC_2682	508-049208	132.761	25	11.5797	37	45	1996.76	1998.02	14.308	14.263	0.11	0	0	4	3	3	1.3	2.2	-0.7	3.9	12.674	0.02	5	12.109	0.02	5	12.009	0.02	5	15.589	8	14.52	3	15.131	33	14.223	3	13.993	16	0	0	0	0	0	0	1	0	0	1	0	0	0.19	0.07	0.05	0.11	0	0	0
31	NGC_2682	508-049209	132.762	63	11.5571	69	103	1989.33	1991.41	15.752	15.749	0.07	0	0	2	2	2	-9.8	3	-3.8	3.5	14.245	0.03	5	13.779	0.03	5	13.682	0.04	5	16.834	1	15.874	4	16.469	34	15.594	3	15.292	1	0	0	0	0	0	0	0	0	0	1	0	0	0.91	1	1	0.95	1	1	1
32	NGC_2682	508-049210	132.762	59	11.4951	72	101	1991.51	1991.19	15.306	15.326	0.04	0	0	2	2	2	-0.6	3	-2.2	3.6	14.112	0.03	5	13.728	0.04	5	13.645	0.04	5	16.303	7	15.541	4	16.003	33	15.371	2	15.167	14	0	0	0	0	0	0	0	0	0	1	0	0	0.7	0.31	0.35	0.47	1	0	0
33	NGC_2682	508-049211	132.773	54	11.5786	79	105	1993.22	1989.43	15.812	16.073	0.29	0	0	2	2	2	-5.8	2.9	-3.7	3.7	15.063	0.04	5	14.997	0.08	5	14.86	0.1	5	16.445	5	16.046	7	16.17	2	15.994	11	15.944	12	0	0	0	0	0	0	0	0	0	1	0	0	0.93	0.98	0.96	0.92	1	1	1
34	NGC_2682	508-049214	132.78	71	11.5968	126	150	1999.7	1996.56	14.006	13.981	0.07	0	0	4	4	3	4.8	10.7	-14.3	11.6	13.023	0.02	5	12.719	0.03	5	12.672	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
35	NGC_2682	508-049215	132.784	100	11.5275	96	165	1984.54	1984.83	16.251	16.357	-9999.99	0	0	1	1	2	-4.3	4.2	-9.7	4.1	14.985	0.04	5	14.455	0.05	5	14.352	0.06	5	17.61	1	16.815	14	17.237	11	16.56	6	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.76	0.87	0.87	0.35	1	1	0
