┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
249	NGC_2682	509-047301	132.851	127	11.7912	38	159	1990.82	1998.49	14.788	14.684	0.16	1	0	3	3	3	-2.4	9.6	4.2	4.2	13.616	0.02	5	13.254	0.02	5	13.226	0.03	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	1	0	0	1	0	0	0.03	0.15	0.26	0.01	0	0	0
250	NGC_2682	509-047302	132.853	24	11.7184	20	34	1996.78	1989.72	14.548	14.538	0.16	1	0	3	3	3	-12.6	1.9	-5.3	1.4	13.258	0.02	5	12.863	0.02	5	12.806	0.03	45	15.51	8	14.717	4	15.139	26	14.482	3	14.386	18	0	0	0	0	0	0	1	0	0	1	0	0	0.93	1	1	0.93	1	1	1
251	NGC_2682	509-047303	132.854	39	11.7619	48	69	1994.8	1992.11	13.927	13.963	0.06	1	0	4	4	3	-11.1	2.9	-8.2	3.5	13.032	0.02	5	12.748	0.03	5	12.692	0.02	5	14.727	3	14.145	1	14.476	26	14.001	4	13.956	16	0	0	0	0	0	0	1	0	0	1	0	0	0.91	1	1	0.86	1	1	1
252	NGC_2682	509-047304	132.855	31	11.6378	62	72	1998.48	1993.97	15.029	14.996	0.11	0	0	2	2	2	-8.6	2.8	-2.8	3.6	13.807	0.02	5	13.438	0.03	5	13.336	0.03	5	16.075	9	15.237	5	15.698	29	15.011	4	14.921	14	0	0	0	0	0	0	0	0	0	1	0	0	0.92	1	1	0.94	1	1	1
253	NGC_2682	509-047305	132.856	89	11.7928	32	97	1996.67	1997.23	12.416	12.4	0.06	1	35	4	3	3	3.6	6.7	-8.2	2.8	11.406	0.02	5	11.154	0.02	5	11.07	0.02	5	13.157	8	12.568	5	12.881	25	12.409	3	12.377	18	0	0	0	0	0	0	8	0	0	8	0	0	0.02	0.02	0.03	0.01	0	0	0
254	NGC_2682	509-047306	132.86	24	11.6702	20	31	1997.99	1999.03	13.726	13.735	0.08	1	0	4	4	3	-33.3	2.4	2.2	2.3	12.43	0.02	5	12.009	0.02	5	11.919	0.02	5	14.834	7	13.974	2	14.454	29	13.712	3	13.574	15	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
255	NGC_2682	509-047307	132.86	18	11.7308	30	40	1988.69	1986.34	11.372	11.338	0.03	1	0	4	3	5	-8.5	1	-1.8	1.3	11.02	0.02	5	11.011	0.02	5	10.993	0.02	5	11.403	8	11.273	3	11.341	25	11.355	3	11.591	20	0	0	0	1	1	0	1	1	0	0	0	0	0.93	1	1	0.91	1	1	1
256	NGC_2682	509-047308	132.86	88	11.6798	70	123	1989.46	1992.95	16.358	16.217	-9999.99	0	0	1	1	2	1.2	4.2	-4.7	3.8	15.201	0.05	5	14.745	0.06	5	14.59	0.07	5	17.385	5	16.674	1	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.44	0.12	0.11	0.22	0	0	0
257	NGC_2682	509-047309	132.86	78	11.7109	74	156	1971.41	1975.55	16.308	16.206	-9999.99	0	0	1	1	2	2.3	3.1	-3.4	2.9	14.622	0.03	5	14.073	0.04	5	13.968	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.19	0.04	0.05	0.11	0	0	0
258	NGC_2682	509-047310	132.86	17	11.6436	27	33	1994.62	1995.86	13.573	13.54	0.11	0	0	4	4	4	-7.8	1.2	-5.5	2.1	12.596	0.02	5	12.365	0.02	5	12.251	0.02	5	14.271	6	13.685	4	14.039	29	13.54	3	13.535	17	0	0	0	1	0	0	1	0	0	1	0	0	0.91	1	1	0.94	1	1	1
259	NGC_2682	509-047312	132.864	75	11.6997	78	150	1973.11	1976.9	16.128	16.447	-9999.99	0	0	1	1	2	7.1	2.9	1.5	3	15.423	0.05	5	15.23	0.09	5	15.201	0.13	6	17.356	11	16.608	1	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
260	NGC_2682	509-047314	132.868	33	11.7804	31	46	1995.27	1997.12	14.71	14.737	0.17	1	0	3	3	2	-13.8	2.1	-6.9	2.3	13.328	0.02	5	12.864	0.02	5	12.822	0.03	5	15.912	16	14.906	6	15.44	26	14.593	3	14.348	4	0	0	0	0	0	0	0	0	0	1	0	0	0.88	0.99	1	0.87	1	1	1
261	NGC_2682	509-047315	132.868	87	11.6988	86	165	1977.12	1976.08	16.194	16.492	-9999.99	0	0	1	1	2	-2.2	3.4	-2.1	3.3	14.661	0.03	5	14.001	0.04	5	13.862	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.85	0.57	0.54	0.68	1	1	1
262	NGC_2682	509-047316	132.869	46	11.7594	42	66	1991.56	1994.71	15.659	15.518	0.1	1	0	2	2	2	-30.8	2.3	1.6	2.5	13.968	0.02	5	13.419	0.03	5	13.327	0.03	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
263	NGC_2682	509-047317	132.869	52	11.6421	21	61	1995.87	1988.44	14.843	14.795	0.12	0	0	3	3	3	-8	4.3	-3.4	1.6	13.494	0.02	5	13.06	0.03	5	13.018	0.03	5	15.772	7	14.993	5	15.447	31	14.773	4	14.592	18	0	0	0	0	0	0	1	0	0	1	0	0	0.91	1	1	0.94	1	1	1
264	NGC_2682	509-047318	132.87	36	11.7191	36	53	1993.81	1995.32	15.179	15.229	0.23	1	0	2	2	2	-12.9	2	-7.1	2.3	13.914	0.03	5	13.515	0.03	5	13.378	0.03	5	16.337	9	15.523	4	15.829	4	15.216	4	15.11	16	0	0	0	0	0	0	0	0	0	1	0	0	0.9	1	1	0.89	1	1	1
265	NGC_2682	509-047319	132.871	55	11.7953	42	81	1983.1	1992.76	15.446	15.451	0.04	1	0	2	2	2	-7.6	2.3	-6	2.3	13.892	0.02	25	13.385	0.03	25	13.31	0.02	25	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.92	1	1	0.94	1	1	1
266	NGC_2682	509-047320	132.872	53	11.7033	40	75	1984.95	1993.98	15.041	15.503	0.44	1	0	2	2	2	4.6	2.2	-1.7	2.3	14.626	0.03	5	14.336	0.05	5	14.263	0.06	5	16.346	18	15.777	3	16.072	24	15.653	4	15.522	16	0	0	0	0	0	0	0	0	0	1	0	0	0.01	0	0	0.01	0	0	0
267	NGC_2682	509-047321	132.872	17	11.7577	16	24	1995.19	1995.89	12.674	12.672	0.07	1	0	4	4	4	-8.6	1	-3.9	1.2	11.287	0.02	5	10.864	0.02	5	10.754	0.02	5	13.844	6	12.937	4	13.423	23	12.648	3	12.492	17	0	0	0	1	0	0	1	0	0	1	0	0	0.89	1	1	0.95	1	1	1
268	NGC_2682	509-047322	132.875	7	11.788	3	20	1990.92	1991.11	9.36	9.341	0.05	3	0	4	3	8	-12.4	1.9	-5.5	0.9	7.314	0.02	5	6.681	0.03	5	6.489	0.02	5	11.004	7	9.742	9	10.55	15	9.469	11	8.853	17	0	0	0	7	7	0	1	7	0	1	0	0	0.93	1	1	0.93	1	1	1
269	NGC_2682	509-047323	132.876	23	11.7305	18	32	1986.31	1995.52	12.993	12.98	0.06	1	0	4	4	4	-9.8	1	-3.3	1.1	12.011	0.02	5	11.761	0.02	5	11.694	0.02	5	13.749	6	13.153	4	13.478	24	13.017	3	12.949	16	0	0	0	1	0	0	1	0	0	1	0	0	0.92	1	1	0.94	1	1	1
270	NGC_2682	509-047324	132.877	79	11.6028	54	111	1983.73	1994.95	14.866	15.986	0.9	0	0	2	2	2	-9	3.3	1.1	3.3	14.393	0.03	5	13.963	0.04	5	13.814	0.04	5	17.197	3	16.185	10	16.742	4	15.829	4	15.662	1	0	0	0	0	0	0	0	0	0	1	0	0	0.83	0.98	0.98	0.55	1	1	1
271	NGC_2682	509-047325	132.878	73	11.7965	68	117	1983.23	1988.88	15.685	15.684	0.13	1	0	2	2	2	30.1	3	-4.5	3.2	13.896	0.02	25	13.342	0.02	25	13.221	0.03	25	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
272	NGC_2682	509-047326	132.88	18	11.7641	17	26	1992.12	1995.28	12.517	12.487	0.05	1	0	4	4	4	-7.8	0.9	-7.1	1	11.515	0.02	5	11.224	0.02	5	11.184	0.02	5	13.224	7	12.647	3	12.963	23	12.507	3	12.469	16	0	0	0	1	0	0	1	0	0	1	0	0	0.93	1	1	0.91	1	1	1
273	NGC_2682	509-047327	132.882	38	11.7525	37	55	1992.98	1995.24	15.25	15.322	0.1	1	0	3	3	2	-3.9	2	-5.2	2.3	13.987	0.02	5	13.53	0.03	5	13.507	0.04	5	16.39	11	15.532	4	15.978	23	15.242	4	15.178	19	0	0	0	0	0	0	0	0	0	1	0	0	0.92	0.88	0.93	0.86	1	1	1
274	NGC_2682	509-047328	132.883	98	11.6381	94	145	1993.34	1992.62	16.08	16.323	-9999.99	0	0	1	1	2	1.5	5.4	-2.5	5	14.673	0.03	5	14.046	0.03	5	13.81	0.04	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.31	0.08	0.09	0.17	0	0	0
275	NGC_2682	509-047329	132.884	81	11.7741	87	180	1972.16	1969.76	16.14	16.28	0.16	1	0	2	2	2	-21.9	3.2	-4.8	3.4	14.24	0.03	5	13.68	0.03	5	13.538	0.03	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	3	0	0	0.01	0.87	0.92	0.04	0	1	0
276	NGC_2682	509-047330	132.884	17	11.6035	26	32	1996.32	1992.22	13.158	13.162	0.06	0	0	4	4	4	-9.3	1.1	-4.1	1.3	12.207	0.02	5	11.965	0.02	5	11.91	0.02	5	13.864	2	13.307	0	13.655	28	13.166	3	13.115	13	0	0	0	1	0	0	1	0	0	1	0	0	0.9	1	1	0.95	1	1	1
277	NGC_2682	509-047331	132.884	78	11.782	79	148	1977.08	1977.94	16.078	15.945	-9999.99	0	0	1	1	2	-36.7	3.1	12.1	3.1	14.34	0.03	5	13.83	0.04	5	13.63	0.04	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
278	NGC_2682	509-047332	132.885	23	11.7794	100	106	1995.56	1996.6	14.45	14.471	0.14	1	0	3	3	3	-5.7	1.8	-16.7	8.2	13.233	0.02	5	12.899	0.02	5	12.805	0.03	5	15.28	7	14.538	6	14.921	24	14.291	5	14.13	15	0	0	0	0	0	0	1	0	0	1	0	0	0	0.08	0.16	0	0	0	0
279	NGC_2682	509-047333	132.885	16	11.7979	26	31	1993.81	1997.63	12.532	12.501	0.07	1	0	4	4	3	-9.9	1.2	-5.9	2.1	11.457	0.02	5	11.194	0.02	5	11.103	0.02	5	12.839	0	12.086	1	12.512	0	11.896	1	11.973	5	0	0	0	4	0	0	2	0	0	0	0	0	0.92	1	1	0.94	1	1	1
280	NGC_2682	509-047334	132.886	22	11.7015	24	33	1997.1	1996.62	14.403	14.414	0.09	1	0	4	4	3	-10.6	1.9	-4.1	2	13.143	0.02	5	12.737	0.02	5	12.674	0.03	5	15.42	6	14.577	5	15.048	26	14.353	2	14.206	19	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.95	1	1	1
281	NGC_2682	509-047335	132.889	32	11.7666	34	48	1995.45	1996.38	15.152	15.085	0.09	1	0	2	2	2	-12.9	2	-4.8	2.3	13.724	0.02	5	13.314	0.03	5	13.276	0.03	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.92	1	1	1
282	NGC_2682	509-047336	132.89	65	11.6427	68	104	1989.5	1991.32	15.989	15.999	0.14	0	0	2	2	2	-14.6	3.1	0.8	3.4	14.175	0.03	5	13.626	0.03	5	13.521	0.04	5	17.265	9	16.232	1	16.708	9	15.883	8	15.484	6	0	0	0	0	0	0	0	0	0	1	0	0	0.55	0.96	0.95	0.26	1	1	0
283	NGC_2682	509-047337	132.892	40	11.7821	22	53	1987.93	1997.91	14.058	14.017	0.1	1	0	4	4	3	-11.1	2.3	-7.6	1.9	13.004	0.02	5	12.75	0.02	5	12.682	0.02	5	14.865	9	14.229	5	14.561	23	14.055	5	14.006	13	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.9	1	1	1
284	NGC_2682	509-047338	132.893	27	11.7649	33	43	1996.62	1996.85	14.755	14.749	0.07	1	0	3	3	3	-14.7	2	-1.7	2.6	13.374	0.02	5	12.976	0.02	5	12.852	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	1	0	0	1	0	0	0.82	0.99	0.99	0.71	1	1	1
285	NGC_2682	509-047339	132.894	22	11.6326	25	34	1997	1995.84	13.067	13.04	0.08	0	0	4	4	4	-7.6	1.7	-4.8	2	12.102	0.02	5	11.864	0.02	5	11.778	0.02	5	13.777	5	13.192	3	13.534	26	13.049	2	13.008	14	0	0	0	1	0	0	1	0	0	1	0	0	0.89	1	1	0.95	1	1	1
286	NGC_2682	509-047340	132.894	25	11.7304	26	36	1997.82	1998.23	14.572	14.395	0.13	1	0	4	4	2	-6.3	2	-4.4	2.2	13.342	0.02	5	13.072	0.03	5	12.954	0.02	5	15.298	6	14.601	4	14.984	25	14.407	5	14.336	18	0	0	0	0	0	0	0	0	0	1	0	0	0.92	0.99	0.99	0.93	1	1	1
287	NGC_2682	509-047341	132.897	72	11.7699	78	161	1969.5	1972.55	16.349	16.269	-9999.99	0	0	1	1	2	-4.3	2.9	-6.2	3.1	15.415	0.05	5	15.016	0.07	5	15.189	0.13	6	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.92	0.91	0.95	0.84	1	1	1
288	NGC_2682	509-047342	132.898	22	11.6631	23	32	1999.08	1998.17	14.194	14.146	0.11	0	0	3	3	3	-13.2	2.6	-4.2	2.5	12.956	0.02	5	12.565	0.02	5	12.427	0.02	5	15.124	10	14.398	4	14.804	25	14.185	3	14.037	14	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.91	1	1	1
289	NGC_2682	509-047343	132.9	31	11.776	17	38	1991.16	1994.6	12.538	12.506	0.07	1	0	4	4	4	-12	1.7	-4.5	1	11.38	0.02	5	11.075	0.02	5	11	0.02	5	13.42	8	12.728	5	13.088	23	12.524	4	12.415	16	0	0	0	1	0	0	1	0	0	1	0	0	0.93	1	1	0.94	1	1	1
290	NGC_2682	509-047344	132.9	27	11.7964	24	39	1991.22	1996.69	14.349	14.318	0.08	1	0	4	4	3	-3.6	1.6	-9.2	1.9	13.216	0.02	5	12.921	0.02	5	12.844	0.03	5	15.208	11	14.526	8	14.864	23	14.317	6	14.251	20	0	0	0	0	0	0	1	0	0	1	0	0	0.78	0.81	0.88	0.38	1	1	0
291	NGC_2682	509-047345	132.901	19	11.649	19	27	1998.13	1996.08	13.832	13.792	0.13	0	0	4	4	3	-8.2	1.8	-4.1	1.6	12.785	0.02	5	12.522	0.02	5	12.452	0.02	5	14.551	5	13.955	4	14.297	26	13.794	3	13.737	12	0	0	0	0	0	0	1	0	0	1	0	0	0.88	1	1	0.95	1	1	1
292	NGC_2682	509-047346	132.904	24	11.6143	25	35	1997.82	1999.81	14.543	14.575	0.11	0	0	4	4	2	-1.8	2.8	2.2	4.7	13.341	0.02	5	12.932	0.02	5	12.829	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	1	0	0	0	0	0	0.2	0.23	0.23	0.08	0	0	0
293	NGC_2682	509-047347	132.905	18	11.7821	23	30	1993.32	1998.6	13.859	13.874	0.07	1	0	4	4	3	-8.8	1.4	-4.3	2.5	12.785	0.02	5	12.459	0.02	5	12.422	0.02	5	14.631	2	14.017	1	14.371	22	13.856	4	13.802	17	0	0	0	0	0	0	1	0	0	1	0	0	0.87	1	1	0.95	1	1	1
294	NGC_2682	509-047348	132.907	84	11.603	89	146	1984.19	1984.19	16.028	16.388	-9999.99	0	0	1	1	2	-13	3.5	6.4	3.7	15.214	0.04	5	14.971	0.07	5	14.764	0.09	5	17.059	0	16.426	11	16.677	3	16.21	4	16.465	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0.79	0.74	0	0	1	0
295	NGC_2682	509-047349	132.907	15	11.6177	25	30	1996.03	1996.83	12.256	12.233	0.05	0	0	4	4	5	-7.2	1.1	-3.5	1.9	11.55	0.02	5	11.411	0.02	5	11.341	0.02	5	12.728	7	12.339	3	12.57	27	12.278	2	12.313	13	0	0	0	1	0	0	1	0	0	1	0	0	0.91	1	0.99	0.94	1	1	1
296	NGC_2682	509-047350	132.91	67	11.6917	67	103	1991.11	1991.72	16.038	16.167	0.27	0	0	2	2	2	-8.3	3.4	-6.1	3.4	14.437	0.03	5	13.888	0.04	5	13.754	0.04	5	17.846	18	16.429	1	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.92	1	1	0.94	1	1	1
297	NGC_2682	509-047351	132.911	20	11.7104	25	37	1996.13	1989.68	13.898	13.981	0.18	1	0	4	4	3	-10.6	1.5	-5.3	1.8	12.971	0.02	5	12.73	0.02	5	12.648	0.03	5	14.758	8	14.144	4	14.485	24	14.013	3	13.961	17	0	0	0	0	0	0	1	0	0	1	0	0	0.93	1	1	0.95	1	1	1
298	NGC_2682	509-047352	132.912	87	11.6505	80	132	1988.95	1989.64	16.398	16.153	-9999.99	0	0	1	1	2	3.9	4	-2.1	3.8	14.936	0.03	5	14.446	0.05	5	14.284	0.06	5	17.645	14	16.556	9	17.129	1	16.427	3	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.02	0.01	0.01	0.02	0	0	0
299	NGC_2682	509-047353	132.913	24	11.7987	54	62	1993.8	1995.75	13.612	13.564	0.11	1	0	4	4	3	-12.9	1.7	-3.5	4.1	12.501	0.02	5	12.199	0.02	5	12.146	0.02	5	14.418	9	13.765	9	14.083	22	13.57	5	13.497	15	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.91	1	1	1
300	NGC_2682	509-047354	132.914	64	11.7266	78	142	1980.02	1972.06	16.207	16.021	-9999.99	0	0	1	1	2	-6.1	2.5	1.7	3.1	14.597	0.03	5	14.043	0.03	5	13.976	0.05	5	17.445	10	16.493	2	17.182	22	16.141	13	15.915	1	0	0	0	0	0	0	0	0	0	1	0	0	0.72	0.81	0.87	0.37	1	1	0
301	NGC_2682	509-047355	132.915	45	11.7504	35	61	1990.15	1995.83	15.126	15.164	0.16	1	0	3	3	2	-11.7	2.1	-5.8	2.3	13.87	0.03	5	13.47	0.03	5	13.392	0.03	5	16.233	1	15.318	1	15.922	30	15.125	4	15.149	23	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.94	1	1	1
302	NGC_2682	509-047356	132.915	59	11.703	60	95	1985.93	1989.33	15.571	15.574	0.22	1	0	2	2	2	-7.2	2.5	-3.7	2.8	14.627	0.03	5	14.484	0.05	5	14.319	0.07	5	16.241	7	15.736	5	15.969	25	15.549	5	15.75	40	0	0	0	0	0	0	0	0	0	1	0	0	0.91	1	1	0.94	1	1	1
303	NGC_2682	509-047357	132.915	71	11.7078	79	160	1971.54	1971.23	16.295	16.153	-9999.99	0	0	1	1	2	-11.6	2.8	0.8	3.1	14.63	0.03	5	14.085	0.04	5	14.119	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.8	0.99	1	0.52	1	1	1
304	NGC_2682	509-047358	132.916	33	11.7152	21	48	1988.89	1994.09	14.242	14.2	0.1	1	0	4	4	3	-2.5	2.4	-24.6	1.6	13.096	0.02	5	12.781	0.03	5	12.711	0.02	5	15.054	9	14.38	3	14.74	24	14.2	2	14.158	16	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
305	NGC_2682	509-047359	132.919	19	11.7772	20	29	1995.86	1993.29	13.727	13.742	0.09	1	0	4	4	3	-10.6	1.3	-4	1.5	12.722	0.02	5	12.49	0.03	5	12.42	0.02	5	14.477	9	13.874	7	14.182	23	13.726	7	13.649	15	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.95	1	1	1
306	NGC_2682	509-047360	132.922	26	11.7481	28	38	1997.36	1997.94	14.661	14.693	0.13	1	0	3	3	2	-2.1	2	-1.8	2.3	13.573	0.02	5	13.243	0.03	5	13.129	0.03	5	15.699	12	14.919	6	15.312	25	14.707	7	14.582	16	0	0	0	0	0	0	0	0	0	1	0	0	0.83	0.54	0.64	0.65	1	1	1
307	NGC_2682	509-047361	132.922	79	11.6356	84	130	1989.63	1987.72	16.129	16.137	-9999.99	0	0	1	1	2	3.4	3.8	-2.8	3.8	14.809	0.04	5	14.22	0.05	5	14.156	0.06	5	17.757	18	16.43	7	17.177	35	16.225	10	16.36	1	0	0	0	0	0	0	0	0	0	1	0	0	0.05	0.01	0.01	0.04	0	0	0
308	NGC_2682	509-047362	132.923	36	11.7934	30	50	1993.66	1994.5	13.927	13.963	0.08	1	0	4	4	3	-11.7	2.6	-1.7	2	12.912	0.02	5	12.601	0.03	5	12.531	0.02	5	14.776	10	14.137	6	14.461	22	13.978	6	13.911	13	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.87	1	1	1
309	NGC_2682	509-047363	132.925	20	11.727	22	31	1992.36	1994.5	12.576	12.559	0.05	1	0	4	4	4	-8.3	1	-2.8	1.3	11.596	0.02	5	11.364	0.02	5	11.284	0.02	5	13.293	8	12.736	5	13.035	23	12.579	4	12.545	16	0	0	0	1	0	0	1	0	0	1	0	0	0.92	1	1	0.94	1	1	1
310	NGC_2682	509-047364	132.927	37	11.7663	38	56	1993.03	1994.7	15.243	15.29	0.13	1	0	2	2	2	-10.4	2	5	2.3	13.638	0.03	5	13.084	0.03	5	12.982	0.03	5	16.744	17	15.535	6	16.14	23	15.219	5	14.999	22	0	0	0	0	0	0	0	0	0	1	0	0	0.04	0.88	0.92	0.01	0	1	0
311	NGC_2682	509-047365	132.927	82	11.6137	79	129	1988.2	1988.78	15.741	16.253	-9999.99	0	0	1	1	2	-10.9	3.7	-7.2	3.7	14.69	0.03	5	14.066	0.04	5	14.024	0.05	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.91	1	1	1
312	NGC_2682	509-047366	132.928	25	11.7768	24	36	1994.39	1993.49	12.293	12.269	0.05	1	0	4	4	5	-12.2	1.6	-11.3	1.4	11.238	0.02	5	10.939	0.02	5	10.88	0.02	5	12.961	3	12.408	1	12.733	23	12.291	5	12.217	16	0	0	0	1	0	0	1	0	0	1	0	0	0.47	0.98	0.99	0.27	0	1	0
313	NGC_2682	509-047367	132.929	27	11.6832	28	39	1998.96	1999.47	14.874	14.754	0.07	0	0	2	2	2	-4.1	2.7	-1.6	3.3	13.643	0.02	5	13.23	0.02	5	13.067	0.03	5	16.029	8	15.143	3	15.606	24	14.881	2	14.782	19	0	0	0	0	0	0	0	0	0	1	0	0	0.9	0.83	0.86	0.8	1	1	1
314	NGC_2682	509-047368	132.929	20	11.608	20	28	1998.54	1998.5	13.995	13.948	0.11	0	0	4	4	3	-8.9	2.1	-3.9	2.2	12.854	0.02	5	12.506	0.02	5	12.439	0.02	5	14.92	6	14.18	3	14.592	26	13.993	4	13.89	11	0	0	0	0	0	0	1	0	0	1	0	0	0.89	1	1	0.95	1	1	1
315	NGC_2682	509-047369	132.931	60	11.6703	62	93	1991.5	1992.84	15.864	16.24	-9999.99	0	0	1	1	2	-4.2	3	0.1	3.4	15.234	0.05	5	14.986	0.08	5	14.84	0.1	5	16.977	9	16.411	6	16.767	26	16.254	6	16.167	10	0	0	0	0	0	0	0	0	0	1	0	0	0.83	0.74	0.75	0.61	1	1	1
316	NGC_2682	509-047370	132.931	19	11.7407	33	42	1989.87	1990.77	10.46	10.437	0.01	1	0	4	4	5	-8.1	1.2	-2.3	1.4	8.838	0.03	5	8.294	0.02	5	8.163	0.02	5	11.894	7	10.78	5	11.364	23	10.435	4	10.195	14	0	0	0	1	1	0	1	1	0	0	0	0	0.93	1	1	0.93	1	1	1
317	NGC_2682	509-047371	132.932	39	11.7541	71	86	1985.22	1998.22	12.975	12.986	0.08	1	0	4	2	3	-13.6	1.8	10.6	6.7	12.027	0.02	5	11.805	0.02	5	11.729	0.02	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	1	0	0	1	0	0	0	0.39	0	0	0	0	0
318	NGC_2682	509-047372	132.933	62	11.7603	64	106	1983.92	1985.21	15.928	15.894	-9999.99	0	0	1	1	2	6.5	2.6	-8.4	2.7	14.708	0.03	5	14.388	0.05	5	14.167	0.06	5	17.149	3	16.358	6	16.605	7	16.084	1	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
319	NGC_2682	509-047373	132.933	38	11.7735	16	43	1993.61	1992.45	12.604	12.584	0.07	1	0	4	4	4	-5.6	2.1	-6	1	11.438	0.02	5	11.11	0.02	5	11.027	0.02	5	13.549	11	12.809	7	13.182	23	12.607	4	12.504	15	0	0	0	1	0	0	1	0	0	1	0	0	0.93	0.98	0.98	0.9	1	1	1
320	NGC_2682	509-047374	132.936	17	11.6975	15	23	1996.7	1994.81	13.111	13.049	0.07	1	34	6	6	4	-8.2	1.2	-5.5	1.1	12.12	0.02	5	11.887	0.02	5	11.802	0.02	5	13.761	2	13.209	1	13.536	24	13.083	3	13.033	15	0	0	0	2	0	0	2	0	0	2	0	0	0.91	1	1	0.95	1	1	1
